N,n,objective,family_label,top_k,top10_count,claim_role
N40,40,u2_primary,surrogate_guided,10,3,native_top10_family_occupancy_within_N_only
all_native,all_native,Mises,diversity,10,6,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,Mises,engineering_baseline,10,13,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,Mises,graph_pointer_or_gnn_rl,10,10,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,Mises,method_c,10,1,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,Mises,other,10,1,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,Mises,recovery_anchor,10,5,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,Mises,surrogate_guided,10,3,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,Mises,uncertainty,10,1,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,PEEQ,diversity,10,7,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,PEEQ,engineering_baseline,10,3,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,PEEQ,graph_pointer_or_gnn_rl,10,3,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,PEEQ,other,10,2,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,PEEQ,penalty_repair,10,8,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,PEEQ,recovery_anchor,10,5,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,PEEQ,surrogate_guided,10,10,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,PEEQ,uncertainty,10,2,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,SurfaceT,engineering_baseline,10,3,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,SurfaceT,graph_pointer_or_gnn_rl,10,3,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,SurfaceT,other,10,3,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,SurfaceT,penalty_repair,10,16,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,SurfaceT,recovery_anchor,10,6,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,SurfaceT,surrogate_guided,10,4,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,SurfaceT,uncertainty,10,5,aggregate_over_native_N_and_objective_top10_counts
