N,strategy_id,family_label,candidate_source,u2_range,peeq_max,surface_t_proxy,mises_max,u2_norm_within_N,peeq_norm_within_N,surface_t_norm_within_N,mises_norm_within_N,u2_rank_within_N,peeq_rank_within_N,surface_t_rank_within_N,mises_rank_within_N,U2_gate_status,PEEQ_gate_status,U2_PEEQ_gate_status,hierarchy_region,constrained_reward_if_available,source_file
N16,N16_A08_block_interleaved_quarters,block_interleaved,,0.0001606882035503,0.1505546271800995,582573376.0,579948160.0,0.5260818853403725,0.14034622889147938,0.24247694771133566,0.7333333333333333,68,29,65,33,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.3064935064935065,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A09_center_edge_alternating,center_edge,,0.0002147317868548,0.1743032783269882,580899648.0,579946944.0,0.7424092625635014,0.8394651279495776,0.001812894557635323,0.1,74,75,3,4,U2_outside_near_safe_analysis_gate,PEEQ_outside_analysis_gate,outside_U2_PEEQ_analysis_gate,PEEQ_safety_filter_region,0.2772727272727273,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,,0.0001204781697197,0.1701684147119522,581290304.0,579948096.0,0.3651278807249405,0.71774194963433,0.05798501831299579,0.7,66,73,27,31,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.2538961038961039,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,,0.0001829955551784,0.1743417531251907,582880128.0,579946944.0,0.6153744632087085,0.8405977589522587,0.2865845802734986,0.1,72,76,67,4,U2_outside_near_safe_analysis_gate,PEEQ_outside_analysis_gate,outside_U2_PEEQ_analysis_gate,PEEQ_safety_filter_region,0.1623376623376623,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,,0.0002397338296304,0.1613717526197433,581517248.0,579946816.0,0.842488236017056,0.45878354903914914,0.0906171203504316,0.03333333333333333,75,65,41,2,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.2318181818181818,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,,0.0001174903159153,0.1519810110330581,581337280.0,579948288.0,0.35316800431574286,0.1823364835272811,0.06473966097951521,0.8,65,39,30,37,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.3519480519480519,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,,0.00015728273911,0.1641508787870407,582433856.0,579947264.0,0.5124503837716121,0.5405961797610866,0.22241547494156405,0.26666666666666666,67,68,64,9,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.2201298701298701,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,,0.0001736121434987,0.1645837575197219,582198912.0,579947904.0,0.5778142439568263,0.5533393752017838,0.18863305909852207,0.6,70,69,61,27,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.1798701298701299,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A01_raster_left_to_right,raster,,0.0005523721708868,0.1892502903938293,587159872.0,579944256.0,0.8756825949824466,0.9999944167910172,0.5631061279499899,0.696969696969697,184,188,180,101,U2_outside_near_safe_analysis_gate,PEEQ_outside_analysis_gate,outside_U2_PEEQ_analysis_gate,PEEQ_safety_filter_region,0.0689153439153439,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A02_odd_even_interlaced,odd_even,,8.360300034837564e-05,0.1549861133098602,586226112.0,579943936.0,0.09057459870840619,0.1441145346935018,0.47943107848478766,0.5454545454545454,102,59,175,82,U2_safe_analysis_gate,PEEQ_safe_analysis_gate,combined_safe_analysis_gate,admissible_secondary_SurfaceT_ranking_region,0.4743386243386243,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
