strategy_name,final_expansion_batch,global_candidate_index,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_version_source,ppo_generation_mode,seed,selected_by_bucket,predicted_reward_available,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,candidate_source,teacher_validated,abaqus_validated,notes,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
PPOFINAL_N16_B021_quality,final_expansion_batch01,21,16,"[11, 3, 1, 15, 13, 9, 7, 5, 0, 2, 4, 6, 10, 8, 12, 14]","11,3,1,15,13,9,7,5,0,2,4,6,10,8,12,14",0a75862e3605280c,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206712,quality,True,0.8535071729128095,3.8,14.0,2,0.0,57.0,10.160000000000002,-0.2533333333333333,0.28265555555555555,10.0,10,8.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,422,0.06666666666666667,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B022_quality,final_expansion_batch01,22,16,"[11, 3, 1, 15, 13, 9, 7, 5, 0, 2, 4, 6, 8, 12, 10, 14]","11,3,1,15,13,9,7,5,0,2,4,6,8,12,10,14",f5ea60be6ba4eb8a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860674,quality,True,0.8468048897315781,3.8,14.0,2,0.0,57.0,10.160000000000002,-0.2533333333333333,0.28265555555555555,10.0,10,8.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,595,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B023_quality,final_expansion_batch01,23,16,"[11, 3, 1, 15, 13, 9, 7, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,15,13,9,7,5,0,2,4,6,8,10,12,14",112c7158ed9beae3,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860623,quality,True,0.8954529465010871,3.533333333333333,14.0,2,0.0,53.0,10.515555555555562,-0.2355555555555555,0.2675691358024691,8.0,8,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,544,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B024_quality,final_expansion_batch01,24,16,"[11, 1, 3, 13, 15, 7, 9, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,1,3,13,15,7,9,5,0,2,4,6,8,10,12,14",33b8727ceadf88f5,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860907,quality,True,0.8454182280384789,3.8,10.0,3,0.0,57.0,8.559999999999999,-0.2533333333333333,0.2755444444444444,7.0,7,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,828,0.0666666666666666,0.6666666666666667,0.3333333333333333,False,False,False,False,False
PPOFINAL_N16_B025_quality,final_expansion_batch01,25,16,"[11, 3, 1, 13, 15, 9, 7, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,13,15,9,7,5,0,2,4,6,8,10,12,14",ac75b5c13ac7b4df,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860634,quality,True,0.8948397232401708,3.533333333333333,12.0,3,0.0,53.0,8.382222222222222,-0.2355555555555555,0.2580876543209876,8.0,8,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,555,0.0666666666666666,0.6666666666666666,0.3333333333333333,False,False,False,False,False
PPOFINAL_N16_B026_quality,final_expansion_batch01,26,16,"[11, 1, 3, 15, 13, 5, 7, 9, 0, 2, 4, 6, 8, 10, 12, 14]","11,1,3,15,13,5,7,9,0,2,4,6,8,10,12,14",ba1ed7eee00034ea,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206337,quality,True,0.8387433322998044,4.066666666666666,12.0,4,0.0,61.0,12.328888888888889,-0.2711111111111111,0.3089617283950617,7.0,7,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,47,0.06666666666666667,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B027_quality,final_expansion_batch01,27,16,"[11, 3, 1, 15, 13, 7, 9, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,15,13,7,9,5,0,2,4,6,8,10,12,14",a1735e9fea830cda,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860694,quality,True,0.8375850872583123,3.8,14.0,3,0.0,57.0,10.693333333333337,-0.2533333333333333,0.2850259259259259,8.0,8,9.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,615,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B028_diversity,final_expansion_batch01,28,16,"[11, 1, 3, 15, 13, 9, 7, 5, 6, 0, 2, 4, 8, 10, 12, 14]","11,1,3,15,13,9,7,5,6,0,2,4,8,10,12,14",7b2ba7418d0d9ac8,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860789,diversity,True,0.8174050697567683,3.6666666666666665,12.0,3,0.0666666666666666,55.0,9.82222222222222,-0.1777777777777777,0.2728209876543209,9.0,9,12.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,710,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B029_diversity,final_expansion_batch01,29,16,"[11, 3, 1, 15, 13, 9, 7, 5, 4, 0, 2, 6, 8, 10, 12, 14]","11,3,1,15,13,9,7,5,4,0,2,6,8,10,12,14",cac6c09a30024fea,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206332,diversity,True,0.8588726208362754,3.533333333333333,14.0,2,0.0666666666666666,53.0,10.515555555555558,-0.1688888888888888,0.2675691358024691,10.0,10,10.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,42,0.0666666666666666,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B030_diversity,final_expansion_batch01,30,16,"[11, 3, 1, 15, 13, 7, 5, 9, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,15,13,7,5,9,0,2,4,6,8,10,12,14",d3449887e51567b6,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860876,diversity,True,0.8331291621796413,4.066666666666666,14.0,4,0.0,61.0,12.328888888888889,-0.2711111111111111,0.3089617283950617,9.0,9,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,797,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
