policy,episode_id,phase,adjacency_ratio,concentration_metric,cumulative_reheat,peak_heat,heat_variance,coverage_ratio
random,2,early,0.03383458646616541,1.0,-7.089812634872541,0.304005891084671,0.0010192039189860225,0.3
random,2,full,0.049493813273340834,1.0,-26.377009171039116,0.29884690046310425,0.0010384204797446728,1.0
random,2,late,0.06766917293233082,0.9821428571428571,-8.656323905498716,0.29884690046310425,0.0010384204797446728,1.0
distance_aware_cool_first,2,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,2,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,2,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,3,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,3,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,3,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,3,early,0.045112781954887216,1.0,-6.864260553251038,0.3043646514415741,0.0010149142472073436,0.3
random,3,full,0.05849268841394826,1.0,-25.86650540234428,0.3908337950706482,0.0011364574311301112,1.0
random,3,late,0.06390977443609022,1.0,-7.987287619002165,0.3908337950706482,0.0011364574311301112,1.0
distance_aware_cool_first,3,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,3,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,3,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,4,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,4,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,4,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,4,early,0.04887218045112782,0.9821428571428571,-7.409366491684838,0.3018515408039093,0.0012914497638121247,0.3
random,4,full,0.05061867266591676,1.0,-26.165072711753822,0.30069154500961304,0.0010695134988054633,1.0
random,4,late,0.06390977443609022,1.0,-8.207995656556442,0.30069154500961304,0.0010695134988054633,1.0
distance_aware_cool_first,4,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,4,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,4,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,5,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,5,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,5,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,5,early,0.06015037593984962,1.0,-7.1219189259138105,0.32956352829933167,0.0012188074178993702,0.3
random,5,full,0.049493813273340834,1.0,-25.363577028013136,0.29889926314353943,0.001116726896725595,1.0
random,5,late,0.045112781954887216,1.0,-7.869251074609343,0.29889926314353943,0.001116726896725595,1.0
distance_aware_cool_first,5,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,5,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,5,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,6,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,6,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
