stripe_index,center_row,center_col,affected_cells,coverage_reward,pre_reheat,post_peak,post_variance,delta_peak,delta_variance,delta_reheat_proxy,delta_peak_to_coverage,delta_variance_to_coverage,delta_reheat_to_coverage
18,22,22,6,1.0,0.0,0.4802837371826172,0.0015022112056612968,0.4802837371826172,0.0015022112056612968,0.2617727220058441,0.4802837371826172,0.0015022112056612968,0.2617727220058441
19,22,23,6,1.0,0.0,0.4802837371826172,0.001504186075180769,0.4802837371826172,0.001504186075180769,0.2617727220058441,0.4802837371826172,0.001504186075180769,0.2617727220058441
20,24,24,10,1.0,0.0,0.48028552532196045,0.0020274585112929344,0.48028552532196045,0.0020274585112929344,0.23919950425624847,0.48028552532196045,0.0020274585112929344,0.23919950425624847
21,26,25,14,1.0,0.0,0.48028552532196045,0.002440087962895632,0.48028552532196045,0.002440087962895632,0.2157495617866516,0.48028552532196045,0.002440087962895632,0.2157495617866516
22,29,26,19,1.0,0.0,0.48028552532196045,0.0027104723267257214,0.48028552532196045,0.0027104723267257214,0.1945994794368744,0.48028552532196045,0.0027104723267257214,0.1945994794368744
23,31,27,23,1.0,0.0,0.48028552532196045,0.0028789786156266928,0.48028552532196045,0.0028789786156266928,0.1755666434764862,0.48028552532196045,0.0028789786156266928,0.1755666434764862
24,32,28,24,1.0,0.0,0.48028552532196045,0.002993923844769597,0.48028552532196045,0.002993923844769597,0.1755666434764862,0.48028552532196045,0.002993923844769597,0.1755666434764862
25,33,29,21,1.0,0.0,0.48028552532196045,0.0029053078033030033,0.48028552532196045,0.0029053078033030033,0.1848316341638565,0.48028552532196045,0.0029053078033030033,0.1848316341638565
26,36,30,16,1.0,0.0,0.48028552532196045,0.002683333121240139,0.48028552532196045,0.002683333121240139,0.21574993431568146,0.48028552532196045,0.002683333121240139,0.21574993431568146
27,37,31,13,1.0,0.0,0.48028552532196045,0.0024909027852118015,0.48028552532196045,0.0024909027852118015,0.22718773782253265,0.48028552532196045,0.0024909027852118015,0.22718773782253265
28,35,32,17,1.0,0.0,0.48028552532196045,0.002730355830863118,0.48028552532196045,0.002730355830863118,0.2048964947462082,0.48028552532196045,0.002730355830863118,0.2048964947462082
29,34,33,20,1.0,0.0,0.48028552532196045,0.0028662988916039467,0.48028552532196045,0.0028662988916039467,0.1945994794368744,0.48028552532196045,0.0028662988916039467,0.1945994794368744
30,31,34,23,1.0,0.0,0.48028552532196045,0.00285644200630486,0.48028552532196045,0.00285644200630486,0.1755666434764862,0.48028552532196045,0.00285644200630486,0.1755666434764862
31,29,35,19,1.0,0.0,0.48028552532196045,0.0027755352202802896,0.48028552532196045,0.0027755352202802896,0.1945994794368744,0.48028552532196045,0.0027755352202802896,0.1945994794368744
32,28,36,16,1.0,0.0,0.48028552532196045,0.0025844594929367304,0.48028552532196045,0.0025844594929367304,0.21574993431568146,0.48028552532196045,0.0025844594929367304,0.21574993431568146
33,26,37,12,1.0,0.0,0.48028552532196045,0.002397355390712619,0.48028552532196045,0.002397355390712619,0.2392396628856659,0.48028552532196045,0.002397355390712619,0.2392396628856659
34,26,38,13,1.0,0.0,0.48028552532196045,0.0024666921235620975,0.48028552532196045,0.0024666921235620975,0.22718773782253265,0.48028552532196045,0.0024666921235620975,0.22718773782253265
35,28,39,17,1.0,0.0,0.48028552532196045,0.0026436583139002323,0.48028552532196045,0.0026436583139002323,0.2048964947462082,0.48028552532196045,0.0026436583139002323,0.2048964947462082
36,30,40,21,1.0,0.0,0.48028552532196045,0.0028160291258245707,0.48028552532196045,0.0028160291258245707,0.1848316341638565,0.48028552532196045,0.0028160291258245707,0.1848316341638565
37,32,41,23,1.0,0.0,0.48028552532196045,0.002896321238949895,0.48028552532196045,0.002896321238949895,0.1755666434764862,0.48028552532196045,0.002896321238949895,0.1755666434764862
