regime,target,feature_set,model_name,macro_spearman_leave_N_out,macro_top5_overlap_leave_N_out,macro_top10_overlap_leave_N_out,n24_spearman,n32_spearman,n40_spearman
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,Ridge,0.8335019514676413,1.4,4.4,0.7983383607402884,0.8465683844426668,0.8523327418849806
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,RandomForestRegressor,0.8348135707931046,1.4,4.8,0.8437203185964067,0.8240536410962787,0.8957404837194273
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,ExtraTreesRegressor,0.8486734619761627,1.6,4.8,0.8565881763527055,0.7997530897856466,0.9352885920050099
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,Ridge,0.8319812665703955,1.2,4.8,0.783976453194286,0.8346997184210785,0.8694917023275233
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,RandomForestRegressor,0.8269085872488521,0.8,4.8,0.841549332572011,0.8243139448817309,0.8834335339266215
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.8352372584445936,0.8,4.2,0.8393783465476152,0.803867480543304,0.9032345604767164
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,Ridge,0.7769270984807453,0.8,3.6,0.737012411888589,0.7760128481324697,0.8265466994021327
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.849760925423585,1.8,5.0,0.8129181769471351,0.8107470844053134,0.9065439156203116
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8503013977507949,1.6,4.6,0.8257152710012848,0.7811085986895191,0.9016283973964352
plus_N32_balanced,target_u2_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.2,1.2,nan,nan,nan
plus_N32_balanced,target_u2_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.8065700600736981,1.6,4.0,0.7723685873775143,0.8358564705229391,0.8715775447903525
plus_N32_balanced,target_u2_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.8474115136281715,1.2,4.4,0.8353722199172553,0.8445799509749956,0.9239874789378723
plus_N32_balanced,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.2,1.2,nan,nan,nan
plus_N32_balanced,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.8043455342170172,1.6,4.0,0.776418522669996,0.8304535777321,0.8695316371185651
plus_N32_balanced,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.8502194957001716,0.8,4.6,0.8397979224018229,0.8381346656861718,0.9235699424011508
plus_N32_balanced,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.0,0.8,nan,nan,nan
plus_N32_balanced,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.5002931320675887,1.0,3.8,0.4903135578067917,0.2155985738615833,0.5757977499547945
plus_N32_balanced,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.582856965342024,1.0,3.4,0.5300196244372051,0.20444263139051574,0.6122338237947546
plus_N32_balanced,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.0,0.8,nan,nan,nan
plus_N32_balanced,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.5090080589689601,1.0,3.8,0.4780384961986513,0.21237736629394474,0.5843989128198601
plus_N32_balanced,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.5914845674876389,0.8,3.6,0.5678468551071887,0.2093619357386641,0.6939874776848268
plus_N32_balanced,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.2,1.8,nan,nan,nan
plus_N32_balanced,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.13234877551619623,0.6,2.4,0.0754457017888085,0.33302721532967733,0.4078871846059524
plus_N32_balanced,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.31953967512433806,1.2,3.6,0.4441150691353381,0.040385143223772416,0.5170354934222495
plus_N32_balanced,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.2,1.8,nan,nan,nan
plus_N32_balanced,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.08010580277616809,0.4,2.4,0.0716880298679492,0.290373350854682,0.42788697592811964
plus_N32_balanced,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.27787737800364304,1.2,2.8,0.383491295478808,0.015080611795947656,0.5249269339662862
plus_N32_balanced,target_mises_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.6,2.8,nan,nan,nan
plus_N32_balanced,target_mises_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.29882610766042966,1.4,3.4,0.5793862462655018,0.025554533468781386,-0.2992905592584463
plus_N32_balanced,target_mises_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.2686816257952694,1.0,3.2,0.5156957793757418,-0.04895699245491753,-0.4475092522571293
plus_N32_balanced,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.6,2.8,nan,nan,nan
plus_N32_balanced,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.4611557648966532,1.2,3.6,0.5610272962834585,0.028121359557038993,0.5915683739814168
plus_N32_balanced,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.33272455435625686,1.4,3.4,0.5483688421862505,-0.04460795857420905,-0.1728957435915635
