n,strategy_name,dataset_source,legacy_compatibility_status,metric_semantic_warning,order_json,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,odd_even_transition_count,mean_signed_jump,jump_std_norm,target_reward_combined204_plus_N32_mapped_u2_primary,target_u2_score_combined204_plus_N32_rank,target_peeq_score_combined204_plus_N32_rank,target_surfaceT_score_combined204_plus_N32_rank,target_mises_score_combined204_plus_N32_rank
12,N12_A14_graph_pointer_policy_u2first_proxy,probe60_run08,NATIVE_STAGE3,False,"[0,5,2,6,4,7,8,3,10,1,9,11]",c11d4ef7da73358e,0.0,1.0,0.4049586776859504,0.8181818181818182,1,3,0.6363636363636364,0.2,8,2.0198149924849456,0.5757575757575758,0.8181818181818182,2,1,0.3194444444444445,0.9166666666666666,7.0,0.09090909090909091,0.2272351584275623,0.26785714285714285,0.17142857142857137,0.3142857142857143,0.5714285714285714,0.7285714285714286
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,NATIVE_STAGE3,False,"[0,5,11,6,4,8,7,2,3,1,9,10]",55028c9f58c80c6e,0.0,0.9090909090909091,0.3305785123966942,0.7272727272727273,3,2,0.5454545454545454,0.4,6,1.6726254461443206,0.6969696969696969,0.7575757575757577,2,1,0.2986111111111111,0.9166666666666666,6.0,0.08264462809917356,0.20611510600561858,0.31571428571428567,0.19999999999999996,0.2857142857142857,0.8285714285714285,0.9142857142857143
16,N16_A01_raster_left_to_right,probe60_run08,NATIVE_STAGE3,False,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",1daa17d3aff83166,0.0,1.0,0.06666666666666667,0.06666666666666667,15,0,1.0,1.0,0,-1.000088900581841e-12,0.8,0.8,4,0,0.46875,0.9375,15.0,0.06666666666666667,0.0,0.05785714285714287,0.05714285714285716,0.02857142857142858,0.0,0.30000000000000004
16,N16_A02_odd_even_interlaced,probe60_run08,NATIVE_STAGE3,False,"[0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15]",fad520b727cbc4ef,0.0,1.0,0.18222222222222223,0.8666666666666667,0,1,0.06666666666666667,0.8571428571428571,2,0.24493002679263537,0.6,0.6,2,2,0.27734375,0.9375,1.0,0.06666666666666667,0.1829254722422816,0.6571428571428571,0.7714285714285715,0.5714285714285714,0.05714285714285716,0.7142857142857143
16,N16_A03_greedy_maximin_distance,probe60_run08,NATIVE_STAGE3,False,"[0,15,7,11,3,5,9,13,1,2,4,6,8,10,12,14]",56a9b78cb5be7ceb,0.0,0.9333333333333333,0.3111111111111111,1.0,1,4,0.13333333333333333,0.5714285714285714,6,1.487816716395449,0.6333333333333333,0.4666666666666667,2,2,0.234375,0.9375,2.0,0.06222222222222222,0.2707100859171744,0.7485714285714286,0.8857142857142857,0.6,0.2857142857142857,0.48571428571428577
16,N16_A04_method_c_u2_first_engineering,probe60_run08,NATIVE_STAGE3,False,"[0,2,4,6,8,10,12,14,7,5,3,1,9,11,13,15]",6972db688a18972f,0.0,1.0,0.18222222222222223,0.5333333333333333,0,1,0.06666666666666667,0.8571428571428571,2,0.48509409129921155,0.6,0.6,2,2,0.27734375,0.9375,1.0,0.06666666666666667,0.1252355804764922,0.7092857142857144,0.7428571428571429,0.7714285714285715,0.6571428571428571,0.12857142857142856
16,N16_A05_center_out,probe60_run08,NATIVE_STAGE3,False,"[7,8,6,9,5,10,4,11,3,12,2,13,1,14,0,15]",64f300b0e47dfb17,0.4666666666666667,1.0,0.5333333333333333,1.0,1,8,0.5333333333333333,0.0,14,2.708050201087209,0.13333333333333333,0.9333333333333333,0,4,0.25,0.5,8.0,0.035555555555555556,0.28803291992923824,0.13357142857142856,0.0,0.19999999999999996,0.4571428571428572,0.9571428571428572
16,N16_A06_edge_in_alternating,probe60_run08,NATIVE_STAGE3,False,"[0,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8]",a72ff7c67a8bc80c,0.0,0.5333333333333333,0.5333333333333333,1.0,1,8,0.5333333333333333,0.0,14,2.708050201087209,0.9333333333333333,0.13333333333333333,4,0,0.46875,0.9375,8.0,0.035555555555555556,0.28803291992923824,0.19000000000000003,0.1428571428571429,0.0,0.6285714285714286,0.6857142857142857
16,N16_A07_regular_jump_coprime,probe60_run08,NATIVE_STAGE3,False,"[0,5,10,15,4,9,14,3,8,13,2,7,12,1,6,11]",8c81a615c58f7371,0.0,0.7333333333333333,0.44,0.7333333333333333,0,4,1.0,0.42857142857142855,8,0.5799151714161009,0.6666666666666666,0.5333333333333333,2,2,0.234375,0.9375,15.0,0.048888888888888885,0.17688665548562132,0.2,0.02857142857142858,0.22857142857142854,0.8571428571428572,1.0
16,N16_A08_block_interleaved_quarters,probe60_run08,NATIVE_STAGE3,False,"[0,4,8,12,1,5,9,13,2,6,10,14,3,7,11,15]",43708ef7c60d038d,0.0,1.0,0.36000000000000004,0.7333333333333333,0,3,0.2,0.5714285714285714,6,0.5004024235361879,0.5333333333333333,0.5333333333333333,2,2,0.22265625,0.9375,3.0,0.06666666666666667,0.18666666666666665,0.41857142857142865,0.2857142857142857,0.8571428571428572,0.37142857142857144,0.48571428571428577
