strategy_name,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_seed,ppo_generation_mode,selected_by,predicted_reward,conservative_reward,candidate_source,teacher_validated,abaqus_validated,stageK2_role,notes
PPOV02K2_N40_B07_top_reward,40,"[37,35,29,20,24,30,26,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,18,16,12,15,21,22,28,32,36,38,34,27,31,33,39]","37,35,29,20,24,30,26,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,18,16,12,15,21,22,28,32,36,38,34,27,31,33,39",bc7edd1e01172812,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,top_reward,0.5675647691705791,0.6325345448912482,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B08_top_reward,40,"[37,35,29,26,24,20,30,25,23,19,17,13,11,9,7,5,1,3,6,4,2,0,8,10,14,16,18,12,15,21,22,28,38,36,34,32,27,31,33,39]","37,35,29,26,24,20,30,25,23,19,17,13,11,9,7,5,1,3,6,4,2,0,8,10,14,16,18,12,15,21,22,28,38,36,34,32,27,31,33,39",7a048ec0093acf89,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,top_reward,0.5529480731611894,0.6316184553717522,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B09_diverse_tophalf,40,"[37,35,29,24,20,30,26,18,23,25,19,17,13,9,11,7,5,3,1,0,2,4,6,8,10,12,16,14,15,21,22,28,34,38,36,32,31,27,33,39]","37,35,29,24,20,30,26,18,23,25,19,17,13,9,11,7,5,3,1,0,2,4,6,8,10,12,16,14,15,21,22,28,34,38,36,32,31,27,33,39",0e5e6502c9b3a638,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,diverse_tophalf,0.5268061424100156,0.5948969612261887,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B10_diverse_tophalf,40,"[37,35,29,24,20,30,26,23,25,19,17,11,13,7,5,9,3,1,6,4,0,2,8,10,12,16,18,14,15,21,22,28,32,34,38,36,39,33,31,27]","37,35,29,24,20,30,26,23,25,19,17,11,13,7,5,9,3,1,6,4,0,2,8,10,12,16,18,14,15,21,22,28,32,34,38,36,39,33,31,27",827cc7b310141cd0,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,diverse_tophalf,0.503350058685446,0.5937529263305197,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B11_diverse_tophalf,40,"[37,29,35,30,20,24,26,25,19,23,17,13,11,9,7,5,1,3,8,4,2,0,6,10,12,14,16,18,15,21,22,28,32,34,38,36,39,33,27,31]","37,29,35,30,20,24,26,25,19,23,17,13,11,9,7,5,1,3,8,4,2,0,6,10,12,14,16,18,15,21,22,28,32,34,38,36,39,33,27,31",124447de22500cae,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,diverse_tophalf,0.5133053305946793,0.5951203842664727,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B12_diverse_tophalf,40,"[37,35,29,24,20,26,30,25,23,19,17,13,11,9,5,3,1,7,2,0,4,6,10,8,16,18,14,12,15,21,22,32,28,34,38,36,39,33,31,27]","37,35,29,24,20,26,30,25,23,19,17,13,11,9,5,3,1,7,2,0,4,6,10,8,16,18,14,12,15,21,22,32,28,34,38,36,39,33,31,27",c1b4f84f892876e1,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,diverse_tophalf,0.5159256748826292,0.6109263579477696,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B13_diverse_tophalf,40,"[37,35,29,20,24,26,30,25,23,19,13,11,9,7,3,5,1,0,4,8,2,6,10,14,18,12,16,17,15,21,22,28,32,34,36,38,33,27,31,39]","37,35,29,20,24,26,30,25,23,19,13,11,9,7,3,5,1,0,4,8,2,6,10,14,18,12,16,17,15,21,22,28,32,34,36,38,33,27,31,39",757185fc9ab5c312,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,diverse_tophalf,0.521806660798122,0.5962632570117495,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B14_novelty_tophalf,40,"[37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,8,2,0,4,6,10,12,14,16,18,15,21,22,28,32,34,36,38,39,33,31,27]","37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,8,2,0,4,6,10,12,14,16,18,15,21,22,28,32,34,36,38,39,33,31,27",2529844c8f77a738,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,novelty_tophalf,0.5594120598591549,0.6070969128420265,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B15_novelty_tophalf,40,"[37,35,29,20,30,24,26,25,23,19,17,13,11,9,7,5,3,1,6,2,0,4,8,10,12,14,16,18,15,21,22,28,32,34,36,38,39,33,27,31]","37,35,29,20,30,24,26,25,23,19,17,13,11,9,7,5,3,1,6,2,0,4,8,10,12,14,16,18,15,21,22,28,32,34,36,38,39,33,27,31",ca785a8ce6fc7d21,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,novelty_tophalf,0.5351550176056338,0.6016773708922626,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B16_novelty_tophalf,40,"[37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,2,0,4,6,8,10,18,12,14,16,15,21,22,28,34,38,36,32,39,33,27,31]","37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,2,0,4,6,8,10,18,12,14,16,15,21,22,28,34,38,36,32,39,33,27,31",4ecd67bdb89f1edd,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,novelty_tophalf,0.5150760954616588,0.599704752909095,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
