check,status,details
scan_json_PPOFINAL_N16_B031_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B031_diversity.json
scan_json_PPOFINAL_N16_B032_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B032_diversity.json
scan_json_PPOFINAL_N12_B033_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B033_diversity.json
scan_json_PPOFINAL_N12_B034_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B034_diversity.json
scan_json_PPOFINAL_N12_B035_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B035_diversity.json
scan_json_PPOFINAL_N12_B036_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B036_efficiency.json
scan_json_PPOFINAL_N12_B037_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B037_efficiency.json
scan_json_PPOFINAL_N12_B038_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B038_efficiency.json
scan_json_PPOFINAL_N12_B039_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B039_efficiency.json
scan_json_PPOFINAL_N12_B040_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B040_efficiency.json
scan_json_PPOFINAL_N12_B041_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B041_efficiency.json
scan_json_PPOFINAL_N12_B042_novelty,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B042_novelty.json
scan_json_PPOFINAL_N12_B043_novelty,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B043_novelty.json
scan_json_PPOFINAL_N12_B044_novelty,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B044_novelty.json
scan_json_PPOFINAL_N12_B045_baseline_proximity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B045_baseline_proximity.json
scan_json_PPOFINAL_N12_B046_baseline_proximity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B046_baseline_proximity.json
scan_json_PPOFINAL_N12_B047_baseline_proximity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B047_baseline_proximity.json
scan_json_PPOFINAL_N12_B048_baseline_proximity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B048_baseline_proximity.json
scan_json_PPOFINAL_N16_B049_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B049_diversity.json
scan_json_PPOFINAL_N16_B050_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B050_diversity.json
scan_json_PPOFINAL_N16_B051_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B051_diversity.json
scan_json_PPOFINAL_N16_B052_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B052_efficiency.json
scan_json_PPOFINAL_N16_B053_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B053_efficiency.json
scan_json_PPOFINAL_N16_B054_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B054_efficiency.json
scan_json_PPOFINAL_N16_B055_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B055_efficiency.json
scan_json_PPOFINAL_N16_B056_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B056_efficiency.json
scan_json_PPOFINAL_N16_B057_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B057_efficiency.json
scan_json_PPOFINAL_N16_B058_novelty,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B058_novelty.json
scan_json_PPOFINAL_N16_B059_novelty,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B059_novelty.json
scan_json_PPOFINAL_N16_B060_novelty,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B060_novelty.json
scan_json_PPOFINAL_N16_B061_baseline_proximity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B061_baseline_proximity.json
scan_json_PPOFINAL_N16_B062_baseline_proximity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B062_baseline_proximity.json
scan_json_PPOFINAL_N16_B063_baseline_proximity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B063_baseline_proximity.json
scan_json_PPOFINAL_N16_B064_baseline_proximity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B064_baseline_proximity.json
scan_json_PPOFINAL_N24_B065_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B065_quality.json
scan_json_PPOFINAL_N24_B066_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B066_quality.json
scan_json_PPOFINAL_N24_B067_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B067_quality.json
scan_json_PPOFINAL_N24_B068_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B068_quality.json
scan_json_PPOFINAL_N24_B069_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B069_quality.json
scan_json_PPOFINAL_N24_B070_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B070_quality.json
scan_json_PPOFINAL_N24_B071_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B071_quality.json
scan_json_PPOFINAL_N24_B072_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B072_quality.json
scan_json_PPOFINAL_N24_B073_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B073_quality.json
scan_json_PPOFINAL_N24_B074_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B074_quality.json
scan_json_PPOFINAL_N24_B075_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B075_quality.json
scan_json_PPOFINAL_N24_B076_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B076_quality.json
scan_json_PPOFINAL_N24_B077_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B077_quality.json
scan_json_PPOFINAL_N24_B078_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B078_quality.json
scan_json_PPOFINAL_N24_B079_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B079_quality.json
scan_json_PPOFINAL_N24_B080_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B080_quality.json
scan_json_PPOFINAL_N24_B081_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B081_quality.json
scan_json_PPOFINAL_N24_B082_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B082_quality.json
scan_json_PPOFINAL_N24_B083_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B083_quality.json
scan_json_PPOFINAL_N24_B084_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B084_quality.json
scan_json_PPOFINAL_N24_B085_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B085_quality.json
scan_json_PPOFINAL_N24_B086_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B086_quality.json
scan_json_PPOFINAL_N24_B087_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B087_quality.json
scan_json_PPOFINAL_N24_B088_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B088_quality.json
scan_json_PPOFINAL_N24_B089_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B089_quality.json
scan_json_PPOFINAL_N24_B090_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B090_quality.json
scan_json_PPOFINAL_N24_B091_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B091_quality.json
scan_json_PPOFINAL_N24_B092_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B092_quality.json
scan_json_PPOFINAL_N24_B093_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B093_diversity.json
scan_json_PPOFINAL_N24_B094_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B094_diversity.json
scan_json_PPOFINAL_N24_B095_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B095_diversity.json
scan_json_PPOFINAL_N24_B096_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B096_diversity.json
scan_json_PPOFINAL_N24_B097_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B097_diversity.json
scan_json_PPOFINAL_N24_B098_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B098_diversity.json
scan_json_PPOFINAL_N24_B099_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B099_diversity.json
scan_json_PPOFINAL_N24_B100_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B100_diversity.json
scan_json_PPOFINAL_N24_B101_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B101_diversity.json
scan_json_PPOFINAL_N24_B102_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N24_B102_diversity.json
