dataset_source,teacher_metric_extracted,n,strategy_name,source_strategy_name,order_json,order_compact,order_hash,u2_range,peeq_max,surface_t_proxy,mises_max,teacher_validation_status,ppo_v01_predicted_surrogate_reward_lex,duplicate_vs_combined552,duplicate_role
stage3_native_combined552,True,24,S3B20_N24_B02_diversity_top,S3B20_N24_B02_diversity_top,"[3,5,7,9,11,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18,20,22,1]","3,5,7,9,11,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18,20,22,1",nan,7.592932161060162e-05,0.1560772061347961,581836224.0,579944512.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3B20_N24_B03_method_c_inspired,S3B20_N24_B03_method_c_inspired,"[0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,12,10,13,15,16,18,19,21,22]","0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,12,10,13,15,16,18,19,21,22",nan,0.0002536973042879,0.1650789976119995,584643072.0,579944576.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3B20_N24_B04_surrogate_top,S3B20_N24_B04_surrogate_top,"[0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,23,21,19]","0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,23,21,19",nan,5.741682798543479e-05,0.1594105213880539,581725376.0,579944832.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3B20_N24_B05_surrogate_top,S3B20_N24_B05_surrogate_top,"[0,4,8,2,6,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23]","0,4,8,2,6,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23",nan,9.08282927412074e-05,0.1536802798509597,581741824.0,579944640.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B01_surrogate_top,S3R19B28_N24_B01_surrogate_top,"[2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23,0]","2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23,0",nan,8.261122002295451e-05,0.1533868759870529,582211520.0,579944448.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B02_u2_primary_top,S3R19B28_N24_B02_u2_primary_top,"[3,5,7,9,11,13,15,17,19,21,23,2,0,4,6,8,10,12,14,16,18,20,22,1]","3,5,7,9,11,13,15,17,19,21,23,2,0,4,6,8,10,12,14,16,18,20,22,1",nan,8.019191227504052e-05,0.1561380475759506,582353856.0,579944512.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B03_geometry_signal_top,S3R19B28_N24_B03_geometry_signal_top,"[2,15,4,17,6,19,8,21,10,23,12,1,14,3,16,5,18,7,20,9,22,11,0,13]","2,15,4,17,6,19,8,21,10,23,12,1,14,3,16,5,18,7,20,9,22,11,0,13",nan,0.0002306497162862,0.1619622707366943,583032192.0,579943168.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B04_method_c_inspired,S3R19B28_N24_B04_method_c_inspired,"[3,5,7,9,11,13,15,17,19,21,23,0,2,4,6,8,10,12,22,20,18,16,14,1]","3,5,7,9,11,13,15,17,19,21,23,0,2,4,6,8,10,12,22,20,18,16,14,1",nan,8.025430179259274e-05,0.1612091809511184,584544768.0,579944384.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B05_diversity_top,S3R19B28_N24_B05_diversity_top,"[17,19,21,23,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,0,2,4,6]","17,19,21,23,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,0,2,4,6",nan,5.907966442464385e-05,0.1658651232719421,585390656.0,579944768.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B06_uncertainty_calibration,S3R19B28_N24_B06_uncertainty_calibration,"[11,21,7,17,3,13,23,9,19,5,15,1,0,2,4,6,8,10,12,14,16,18,20,22]","11,21,7,17,3,13,23,9,19,5,15,1,0,2,4,6,8,10,12,14,16,18,20,22",nan,7.285496940312441e-05,0.1538291126489639,580991360.0,579944640.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B07_control_sentinel,S3R19B28_N24_B07_control_sentinel,"[20,13,6,23,16,9,2,19,12,5,22,15,8,1,18,11,4,21,14,7,0,17,10,3]","20,13,6,23,16,9,2,19,12,5,22,15,8,1,18,11,4,21,14,7,0,17,10,3",nan,0.0003879498119658,0.149288535118103,582449344.0,579944000.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B08_known_best_mutation,S3R19B28_N24_B08_known_best_mutation,"[16,18,20,22,11,13,15,17,19,21,23,0,2,4,6,8,10,12,14,3,5,7,9,1]","16,18,20,22,11,13,15,17,19,21,23,0,2,4,6,8,10,12,14,3,5,7,9,1",nan,4.156047452852363e-05,0.1627765595912933,581362240.0,579944896.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B09_known_best_mutation,S3R19B28_N24_B09_known_best_mutation,"[2,4,6,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,17,19,21,23,0]","2,4,6,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,17,19,21,23,0",nan,6.838659828645177e-05,0.159013420343399,583970176.0,579944576.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R19B28_N24_B10_known_best_mutation,S3R19B28_N24_B10_known_best_mutation,"[0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,19,21,23,17,15,13,1]","0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,19,21,23,17,15,13,1",nan,4.000997159891995e-05,0.1574321687221527,582112512.0,579944704.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
stage3_native_combined552,True,24,S3R24L64_N24_B01_top_region,S3R24L64_N24_B01_top_region,"[0,2,4,6,8,22,20,18,16,14,12,10,11,9,7,5,3,1,13,15,17,23,21,19]","0,2,4,6,8,22,20,18,16,14,12,10,11,9,7,5,3,1,13,15,17,23,21,19",d5d7a577aae2fbbb,7.369223112618783e-05,0.1567591875791549,581899200.0,579943680.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
