dataset_scope,N,source_stage,strategy_id,family_label,teacher_validation_status,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa_if_converted,mises_max,mises_max_mpa_if_converted,nt11_mean_if_present,source_file
native_stage3,N16,Stage3_native,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0001736121434987,0.1645837575197219,582198912.0,582.19891199999995,579947904.0,579.94790399999999,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A01_raster_left_to_right,raster,PASS_ODB_EXTRACTED,0.0005523721708868,0.1892502903938293,587159872.0,587.15987199999995,579944256.0,579.944256,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A02_odd_even_interlaced,odd_even,PASS_ODB_EXTRACTED,8.360300034837564e-05,0.1549861133098602,586226112.0,586.22611199999994,579943936.0,579.94393600000001,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A03_greedy_maximin_distance,maximin,PASS_ODB_EXTRACTED,0.0002935029126547,0.1646057963371276,584637632.0,584.63763200000005,579944576.0,579.94457599999998,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A04_method_c_u2_first_engineering,method_c,PASS_ODB_EXTRACTED,5.621172385872342e-05,0.1543776392936706,581727232.0,581.72723199999996,579944640.0,579.94464000000005,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A05_center_out,center_out,PASS_ODB_EXTRACTED,0.0006265991143266,0.172961801290512,588072192.0,588.07219199999997,579944128.0,579.94412799999998,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A06_edge_in_alternating,edge_in,PASS_ODB_EXTRACTED,0.0005255469384337,0.1848475784063339,590591168.0,590.59116800000004,579942784.0,579.94278399999996,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A07_regular_jump_coprime,regular_jump,PASS_ODB_EXTRACTED,0.0002371341688558,0.1627264767885208,583243392.0,583.24339199999997,579943104.0,579.94310399999995,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A08_block_interleaved_quarters,block_interleaved,PASS_ODB_EXTRACTED,0.000624739785735,0.1546273678541183,584995648.0,584.99564799999996,579943744.0,579.94374400000004,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A09_center_edge_alternating,center_edge,PASS_ODB_EXTRACTED,0.0005546370016418,0.1753909140825271,581775744.0,581.77574400000003,579943744.0,579.94374400000004,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0001888593301373,0.1541593670845031,583863616.0,583.86361599999998,579943360.0,579.94335999999998,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0002307547981672,0.163732573390007,589194880.0,589.19488000000001,579943936.0,579.94393600000001,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0005429062013035,0.1641553044319152,583079232.0,583.07923200000005,579943936.0,579.94393600000001,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0002316626496394,0.1621642112731933,581204672.0,581.20467199999996,579944256.0,579.944256,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0003735758580205,0.1622905135154724,583235840.0,583.23584000000005,579944640.0,579.94464000000005,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N24,Stage3_native,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0004410466524404,0.1661432981491089,583990144.0,583.99014399999999,579944128.0,579.94412799999998,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A01_raster_left_to_right,raster,PASS_ODB_EXTRACTED,0.0015270577277988,0.200013056397438,585953088.0,585.95308799999998,579928512.0,579.92851199999996,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A02_odd_even_interlaced,odd_even,PASS_ODB_EXTRACTED,0.0001595688736415,0.1578081995248794,587307392.0,587.30739200000005,579927744.0,579.92774399999996,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A03_greedy_maximin_distance,maximin,PASS_ODB_EXTRACTED,0.0006838651936504,0.1606565862894058,585288896.0,585.28889600000002,579926656.0,579.92665599999998,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A04_method_c_u2_first_engineering,method_c,PASS_ODB_EXTRACTED,0.0001108189990191,0.153950959444046,582221504.0,582.22150399999998,579926528.0,579.92652799999996,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A05_center_out,center_out,PASS_ODB_EXTRACTED,0.0018341616960242,0.1796219497919082,588607232.0,588.60723199999995,579925632.0,579.92563199999995,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A06_edge_in_alternating,edge_in,PASS_ODB_EXTRACTED,0.0016398808220401,0.2005691230297088,595556480.0,595.55647999999997,579926400.0,579.92639999999994,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A07_regular_jump_coprime,regular_jump,PASS_ODB_EXTRACTED,0.0020766726229339,0.1631038337945938,595582528.0,595.58252800000002,579924032.0,579.92403200000001,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
