dataset_scope,source_stage,N,metric,value,display_value,display_unit,claim_role
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00018332379000000001,0.00018332379000000001,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1432252445816993,0.1432252445816993,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0022999537064688999,0.0022999537064688999,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933567361933568,1.933567361933568,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00049606749999999995,0.00049606749999999995,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1419340454041958,0.1419340454041958,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0056667371621238003,0.0056667371621238003,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933567361933568,1.933567361933568,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00043894886000000002,0.00043894886000000002,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1421673193573951,0.1421673193573951,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0047531856842490004,0.0047531856842490004,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933567361933568,1.933567361933568,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00022616415,0.00022616415,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.14296008720993991,0.14296008720993991,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0050835318845571,0.0050835318845571,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933567361933568,1.933567361933568,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00021854504000000001,0.00021854504000000001,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1430410453677177,0.1430410453677177,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0039954939158624997,0.0039954939158624997,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933567361933568,1.933567361933568,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00025391025999999998,0.00025391025999999998,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1418934766948223,0.1418934766948223,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0055720817575888003,0.0055720817575888003,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933567361933568,1.933567361933568,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00013462572999999999,0.00013462572999999999,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.14529641702771179,0.14529641702771179,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0059949644685476002,0.0059949644685476002,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933567361933568,1.933567361933568,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00019809398999999999,0.00019809398999999999,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.14656668439507481,0.14656668439507481,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0024906912974072002,0.0024906912974072002,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933567361933568,1.933567361933568,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,6.8286560000000002e-05,6.8286560000000002e-05,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1464307011663914,0.1464307011663914,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0058504565657641,0.0058504565657641,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332784640000005,1.9332784640000005,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,8.1266289999999997e-05,8.1266289999999997e-05,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1462219028174877,0.1462219028174877,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0077451404507158997,0.0077451404507158997,legacy_aux_raw,auxiliary_fixed_N32_context
