n,strategy_name,dataset_source,order_json,candidate_family,selection_bucket,priority_role,u2_range,peeq_max,surface_t_proxy,mises_max,u2_rank_combined108_within_n,peeq_rank_combined108_within_n,surfaceT_rank_combined108_within_n,mises_rank_combined108_within_n,u2_cost_minmax_combined108_within_n,peeq_cost_minmax_combined108_within_n,surfaceT_cost_minmax_combined108_within_n,mises_cost_minmax_combined108_within_n,reward_combined108_u2_primary,combined108_constrained_rank_within_n,combined108_pareto_flag_u2_peeq,combined108_pareto_flag_u2_peeq_surfaceT_mises,teacher_validation_status,target_reward_combined108_u2_primary,target_u2_score_combined108_rank,target_peeq_score_combined108_rank,target_surfaceT_score_combined108_rank,target_mises_score_combined108_rank,target_combined108_constrained_rank_within_n
16,N16_A06_edge_in_alternating,probe60_run08,"[0,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8]",edge_in,,,0.00020532089024527522,0.1797565519809723,581764096.0,579947776.0,19.0,24.0,10.0,9.0,0.6878285031070904,1.0,0.12452405756483419,0.64,0.23478260869565218,21.0,False,True,PASS_ODB_EXTRACTED,0.23478260869565218,0.21739130434782605,0.0,0.6086956521739131,0.6521739130434783,21.0
16,N16_A07_regular_jump_coprime,probe60_run08,"[0,5,10,15,4,9,14,3,8,13,2,7,12,1,6,11]",regular_jump,,,0.0002763091160886688,0.16533087193965912,581433216.0,579946752.0,23.0,18.0,5.0,1.0,0.9882568228857461,0.532317540066909,0.07686066986881045,0.0,0.21304347826086956,22.0,False,True,PASS_ODB_EXTRACTED,0.21304347826086956,0.04347826086956519,0.26086956521739135,0.8260869565217391,1.0,22.0
16,N16_A08_block_interleaved_quarters,probe60_run08,"[0,4,8,12,1,5,9,13,2,6,10,14,3,7,11,15]",block_interleaved,,,0.00016068820355030766,0.1505546271800995,582573376.0,579948160.0,16.0,5.0,16.0,14.5,0.4989391075535581,0.05326972547977633,0.2411011441056892,0.88,0.44673913043478264,14.0,False,True,PASS_ODB_EXTRACTED,0.44673913043478264,0.34782608695652173,0.8260869565217391,0.34782608695652173,0.4130434782608695,14.0
16,N16_A09_center_edge_alternating,probe60_run08,"[7,0,8,15,6,1,9,14,5,2,10,13,4,3,11,12]",center_edge,,,0.00021473178685482708,0.17430327832698822,580899648.0,579946944.0,20.0,21.0,1.0,4.5,0.7276562325992402,0.8232041449775963,0.0,0.12,0.28152173913043477,19.0,False,True,PASS_ODB_EXTRACTED,0.28152173913043477,0.17391304347826086,0.13043478260869568,1.0,0.8478260869565217,19.0
16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,"[0,15,2,7,4,11,6,3,8,5,10,9,12,13,14,1]",graph_pointer_proxy,,,0.0001204781697197177,0.1701684147119522,581290304.0,579948096.0,14.0,20.0,2.0,13.0,0.32876676195054044,0.6891513182526359,0.05627414284265551,0.84,0.43695652173913047,15.0,False,True,PASS_ODB_EXTRACTED,0.43695652173913047,0.4347826086956522,0.17391304347826086,0.9565217391304348,0.4782608695652174,15.0
16,N16_A11_graph_pointer_policy_diverse_01,probe60_run08,"[0,5,15,10,1,14,4,2,9,13,3,12,8,11,7,6]",graph_pointer_proxy,,,0.00018299555517842236,0.17434175312519073,582880128.0,579946944.0,18.0,22.0,17.0,4.5,0.5933457515952171,0.8244515030374763,0.28528888438171274,0.12,0.2597826086956523,20.0,False,True,PASS_ODB_EXTRACTED,0.2597826086956523,0.26086956521739135,0.08695652173913049,0.30434782608695654,0.8478260869565217,20.0
16,N16_A12_graph_pointer_policy_diverse_02,probe60_run08,"[9,5,10,4,11,3,12,2,13,1,14,0,15,7,8,6]",graph_pointer_proxy,,,0.00023973382963049517,0.16137175261974335,581517248.0,579946816.0,21.0,14.0,7.0,2.5,0.8334670429538853,0.40396236669524993,0.08896551088329384,0.04,0.2923913043478261,18.0,False,True,PASS_ODB_EXTRACTED,0.2923913043478261,0.13043478260869568,0.4347826086956522,0.7391304347826086,0.9347826086956522,18.0
16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,"[1,14,3,12,5,10,7,8,9,6,11,4,13,2,15,0]",graph_pointer_proxy,,,0.00011749031591534731,0.15198101103305817,581337280.0,579948288.0,13.0,7.0,4.0,18.5,0.31612190588424677,0.0995132791458834,0.06304105320414127,0.96,0.557608695652174,10.0,False,False,PASS_ODB_EXTRACTED,0.557608695652174,0.4782608695652174,0.7391304347826086,0.8695652173913043,0.23913043478260865,10.0
16,N16_A14_graph_pointer_policy_u2first_proxy,probe60_run08,"[0,7,2,8,4,6,9,5,10,12,14,11,1,3,13,15]",graph_pointer_proxy,,,0.00015728273911008728,0.1641508787870407,582433856.0,579947264.0,15.0,16.0,15.0,7.0,0.4845268871087421,0.49406200557977753,0.22100323594759794,0.32,0.39999999999999997,16.0,False,False,PASS_ODB_EXTRACTED,0.39999999999999997,0.3913043478260869,0.34782608695652173,0.3913043478260869,0.7391304347826086,16.0
16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,"[0,7,15,8,6,11,9,3,5,10,4,13,1,2,12,14]",graph_pointer_proxy,,,0.0001736121434987581,0.16458375751972198,582198912.0,579947904.0,17.0,17.0,14.0,10.0,0.5536343407067127,0.5080959914974819,0.18715946491624336,0.72,0.332608695652174,17.0,False,False,PASS_ODB_EXTRACTED,0.332608695652174,0.30434782608695654,0.30434782608695654,0.4347826086956522,0.6086956521739131,17.0
