n,strategy_name,dataset_source,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,odd_even_transition_count,target_reward_combined172_u2_primary,target_u2_score_combined172_rank,target_peeq_score_combined172_rank,target_surfaceT_score_combined172_rank,target_mises_score_combined172_rank
24,S3R19B28_N24_B04_method_c_inspired,batch28_run20,ab92e12a269eefca,0.13043478260869565,0.043478260869565216,0.16257088846880907,1.0,0,2,0.08695652173913043,0.8636363636363636,3,0.5305096302260272,0.34782608695652173,0.6231884057971014,2,4,0.22048611111111113,0.8333333333333334,2.0,0.5349056603773585,0.5849056603773585,0.4716981132075472,0.339622641509434,0.5283018867924528
24,S3R19B28_N24_B05_diversity_top,batch28_run20,e930ae09f58cc941,0.7391304347826086,0.2608695652173913,0.1720226843100189,0.6521739130434783,0,3,0.13043478260869565,0.7272727272727273,6,0.6428579130867905,0.5652173913043478,0.5652173913043478,3,3,0.2638888888888889,0.7083333333333334,3.0,0.6301886792452831,0.8867924528301887,0.15094339622641506,0.2075471698113207,0.05660377358490565
24,S3R19B28_N24_B06_uncertainty_calibration,batch28_run20,f868aca20195ed3a,0.4782608695652174,0.9565217391304348,0.2892249527410208,0.6086956521739131,1,5,0.043478260869565216,0.5454545454545454,10,1.171381416867719,0.43478260869565216,0.47826086956521735,2,4,0.12847222222222224,0.5,1.0,0.7735849056603774,0.7547169811320755,0.8679245283018868,0.9811320754716981,0.2264150943396226
24,S3R19B28_N24_B07_control_sentinel,batch28_run20,0c9eaa96b519ed0c,0.8695652173913043,0.13043478260869565,0.4177693761814744,0.7391304347826086,0,6,1.0,0.45454545454545453,12,0.5739644913913236,0.49275362318840576,0.49275362318840576,2,4,0.15104166666666666,0.8333333333333334,23.0,0.390566037735849,0.15094339622641506,1.0,0.5849056603773585,0.679245283018868
24,S3R19B28_N24_B08_known_best_mutation,batch28_run20,f1233028e9f67703,0.6956521739130435,0.043478260869565216,0.1720226843100189,1.0,0,1,0.13043478260869565,0.6818181818181818,7,0.6428579130867905,0.463768115942029,0.5072463768115941,3,3,0.3090277777777778,0.6666666666666666,3.0,0.7849056603773584,0.9811320754716981,0.30188679245283023,0.8679245283018868,0.0
24,S3R19B28_N24_B09_known_best_mutation,batch28_run20,ff4a2ca726ec276c,0.08695652173913043,0.0,0.16257088846880907,1.0,0,2,0.08695652173913043,0.8636363636363636,3,0.5305096302260272,0.4057971014492754,0.7101449275362319,2,4,0.23263888888888887,0.875,2.0,0.6985849056603773,0.8113207547169812,0.5660377358490566,0.39622641509433965,0.3679245283018868
24,S3R19B28_N24_B10_known_best_mutation,batch28_run20,18768954906ed35e,0.0,0.043478260869565216,0.15689981096408318,0.6956521739130435,0,2,0.043478260869565216,0.8636363636363636,3,0.7031315809605685,0.5652173913043478,0.608695652173913,3,3,0.2690972222222222,0.9583333333333334,1.0,0.8377358490566038,1.0,0.5849056603773585,0.6603773584905661,0.09433962264150941
40,S3R19B28_N40_B01_surrogate_top,batch28_run20,aaf186300ff761a7,0.02564102564102564,0.07692307692307693,0.09861932938856016,1.0,0,2,0.05128205128205128,0.9210526315789473,3,0.4728646678649162,0.5333333333333333,0.4564102564102564,5,5,0.221875,0.95,2.0,0.7844339622641509,0.9811320754716981,0.49056603773584906,0.37735849056603776,0.21698113207547165
40,S3R19B28_N40_B02_u2_primary_top,batch28_run20,15819cd97ca505dd,0.0,0.07692307692307693,0.09533201840894148,0.8974358974358975,1,2,0.07692307692307693,0.9210526315789473,3,0.4728646678649162,0.5384615384615385,0.4871794871794871,5,5,0.27375,0.975,3.0,0.6811320754716981,0.8301886792452831,0.2075471698113207,0.7735849056603774,0.4528301886792453
40,S3R19B28_N40_B03_geometry_signal_top,batch28_run20,dbcae350738d334d,0.05128205128205128,0.5384615384615384,0.5121630506245891,0.5384615384615384,0,19,1.0,0.05263157894736842,36,0.6928184134291289,0.5384615384615385,0.49743589743589745,5,5,0.16,0.925,39.0,0.5297169811320755,0.4716981132075472,0.7358490566037736,0.49056603773584906,0.5377358490566038
40,S3R19B28_N40_B04_method_c_inspired,batch28_run20,7d3b10405c7fb47b,0.0,0.07692307692307693,0.09796186719263643,0.5641025641025641,0,2,0.02564102564102564,0.9210526315789473,3,0.4728646678649162,0.5384615384615385,0.5794871794871794,5,5,0.26187499999999997,0.975,1.0,0.7778301886792452,0.8113207547169812,0.7735849056603774,0.7169811320754718,0.4811320754716981
40,S3R19B28_N40_B05_diversity_top,batch28_run20,63bec2f6e1775433,0.05128205128205128,0.23076923076923078,0.29914529914529914,0.8461538461538461,0,7,1.0,0.6578947368421053,13,0.4706149811794813,0.517948717948718,0.4564102564102564,5,5,0.12875,0.925,39.0,0.5481132075471699,0.41509433962264153,1.0,0.4716981132075472,0.6226415094339622
40,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,0e5c11a2c6d4abbe,0.48717948717948717,0.9743589743589743,0.2741617357001972,0.5641025641025641,1,9,0.02564102564102564,0.5263157894736842,18,1.1316331145838825,0.46153846153846156,0.4871794871794871,4,6,0.10375000000000001,0.5,1.0,0.6778301886792453,0.5660377358490566,0.9622641509433962,1.0,0.34905660377358494
40,S3R19B28_N40_B07_control_sentinel,batch28_run20,62bbf686be08043d,0.717948717948718,0.28205128205128205,0.5029585798816568,0.5897435897435898,0,17,1.0,0.15789473684210525,32,0.6849062404138356,0.49230769230769234,0.49230769230769234,4,6,0.123125,0.7,39.0,0.3132075471698113,0.09433962264150941,0.9811320754716981,0.13207547169811318,0.8490566037735849
