group_type,group_value,count,median_u2_rank_run27,best_u2_rank_run27,median_reward_rank_run27,best_reward_rank_run27,median_u2_rank_combined172,best_u2_rank_combined172,median_reward_rank_combined172,best_reward_rank_combined172,top5_u2_run27_count,top10_u2_run27_count,top5_reward_run27_count,top10_reward_run27_count,new_combined172_top5_u2_entries,new_combined172_top10_u2_entries,new_combined172_top5_reward_entries,new_combined172_top10_reward_entries
generation_method,biased_random_perturbation_407,1,17.0,17.0,14.0,14.0,36.0,36.0,33.0,33.0,0,0,0,0,0,0,0,0
generation_method,center_bias_seeded,1,24.0,24.0,24.0,24.0,48.0,48.0,52.0,52.0,0,0,0,0,0,0,0,0
generation_method,low_adjacent_seeded,1,7.0,7.0,7.0,7.0,24.0,24.0,25.0,25.0,0,1,0,1,0,0,0,0
generation_method,parity_balanced_seeded,3,19.0,15.0,20.0,17.0,38.0,34.0,38.0,37.0,0,0,0,0,0,0,0,0
generation_method,parity_preserving_swap_028,1,3.0,3.0,2.0,2.0,13.0,13.0,8.0,8.0,1,1,1,1,0,0,0,1
generation_method,parity_preserving_swap_036,1,1.0,1.0,4.0,4.0,3.0,3.0,14.0,14.0,1,1,1,1,1,1,0,0
generation_method,parity_preserving_swap_076,1,19.0,19.0,16.0,16.0,33.0,33.0,26.0,26.0,0,0,0,0,0,0,0,0
generation_method,parity_preserving_swap_100,1,5.0,5.0,2.0,2.0,10.0,10.0,4.0,4.0,1,1,1,1,0,1,1,1
generation_method,parity_preserving_swap_188,1,13.0,13.0,11.0,11.0,24.0,24.0,17.5,17.5,0,0,0,0,0,0,0,0
generation_method,parity_preserving_swap_220,1,4.0,4.0,3.0,3.0,9.0,9.0,9.0,9.0,1,1,1,1,0,1,0,1
generation_method,parity_preserving_swap_268,1,10.0,10.0,6.0,6.0,17.0,17.0,8.0,8.0,0,1,0,1,0,0,0,1
generation_method,parity_preserving_swap_460,1,11.0,11.0,7.0,7.0,23.0,23.0,15.0,15.0,0,0,0,1,0,0,0,0
generation_method,random_seeded,1,16.0,16.0,15.0,15.0,35.0,35.0,34.0,34.0,0,0,0,0,0,0,0,0
generation_method,reverse_segment_025,1,6.0,6.0,6.0,6.0,16.0,16.0,16.0,16.0,0,1,0,1,0,0,0,0
generation_method,reverse_segment_057,1,3.0,3.0,5.0,5.0,8.0,8.0,17.5,17.5,1,1,1,1,0,1,0,0
generation_method,reverse_segment_065,2,3.5,2.0,3.0,1.0,12.0,9.0,12.0,6.0,2,2,2,2,0,1,0,1
generation_method,reverse_segment_081,1,4.0,4.0,4.0,4.0,14.0,14.0,14.0,14.0,1,1,1,1,0,0,0,0
generation_method,reverse_segment_177,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
generation_method,reverse_segment_225,2,8.0,1.0,10.5,1.0,14.5,1.0,18.0,1.0,1,1,1,1,1,1,1,1
generation_method,reverse_segment_265,1,6.0,6.0,6.0,6.0,17.0,17.0,19.0,19.0,0,1,0,1,0,0,0,0
generation_method,reverse_segment_289,1,14.0,14.0,14.0,14.0,25.0,25.0,30.0,30.0,0,0,0,0,0,0,0,0
generation_method,reverse_segment_305,1,8.0,8.0,8.0,8.0,15.0,15.0,10.0,10.0,0,1,0,1,0,0,0,1
generation_method,reverse_segment_401,1,2.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,1,1,1,1,1,1,1,1
generation_method,rotate_sequence_010,1,4.0,4.0,9.0,9.0,9.0,9.0,20.0,20.0,1,1,0,1,0,1,0,0
generation_method,rotate_sequence_034,1,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,1,1,1,1,1,1,0,1
generation_method,rotate_sequence_050,1,5.0,5.0,2.0,2.0,14.0,14.0,10.0,10.0,1,1,1,1,0,0,0,1
generation_method,rotate_sequence_058,1,8.0,8.0,8.0,8.0,19.0,19.0,21.0,21.0,0,1,0,1,0,0,0,0
generation_method,rotate_sequence_098,1,9.0,9.0,11.5,11.5,20.0,20.0,27.0,27.0,0,1,0,0,0,0,0,0
generation_method,rotate_sequence_202,1,2.0,2.0,5.0,5.0,3.0,3.0,11.0,11.0,1,1,1,1,1,1,0,0
generation_method,rotate_sequence_210,1,4.0,4.0,5.0,5.0,13.0,13.0,16.0,16.0,1,1,1,1,0,0,0,0
generation_method,rotate_sequence_378,1,10.0,10.0,11.5,11.5,22.0,22.0,25.0,25.0,0,1,0,0,0,0,0,0
generation_method,seed_crossover_037,1,6.0,6.0,12.0,12.0,12.0,12.0,19.0,19.0,0,1,0,0,0,0,0,0
generation_method,seed_crossover_173,1,12.0,12.0,13.0,13.0,25.0,25.0,30.0,30.0,0,0,0,0,0,0,0,0
generation_method,seed_crossover_229,1,7.0,7.0,7.0,7.0,13.0,13.0,11.0,11.0,0,1,0,1,0,0,0,0
generation_method,seed_crossover_453,1,7.0,7.0,4.0,4.0,18.0,18.0,12.0,12.0,0,1,1,1,0,0,0,0
generation_method,swap_early_late_blocks_035,1,1.0,1.0,3.0,3.0,8.0,8.0,11.0,11.0,1,1,1,1,0,1,0,0
generation_method,swap_early_late_blocks_051,1,16.0,16.0,18.0,18.0,29.0,29.0,33.0,33.0,0,0,0,0,0,0,0,0
generation_method,swap_early_late_blocks_059,1,3.0,3.0,3.0,3.0,7.0,7.0,8.0,8.0,1,1,1,1,0,1,0,1
generation_method,swap_early_late_blocks_099,2,19.0,17.0,19.5,17.0,33.0,30.0,36.0,32.0,0,0,0,0,0,0,0,0
generation_method,swap_early_late_blocks_131,1,20.0,20.0,21.0,21.0,34.0,34.0,36.0,36.0,0,0,0,0,0,0,0,0
generation_method,swap_early_late_blocks_203,1,6.0,6.0,6.0,6.0,17.0,17.0,18.0,18.0,0,1,0,1,0,0,0,0
generation_method,swap_early_late_blocks_283,1,13.0,13.0,18.0,18.0,31.0,31.0,39.0,39.0,0,0,0,0,0,0,0,0
generation_method,swap_two_positions_072,1,18.0,18.0,15.0,15.0,32.0,32.0,27.0,27.0,0,0,0,0,0,0,0,0
generation_method,swap_two_positions_088,1,5.0,5.0,4.0,4.0,15.0,15.0,12.0,12.0,1,1,1,1,0,0,0,0
generation_method,swap_two_positions_104,1,12.0,12.0,9.0,9.0,22.0,22.0,13.0,13.0,0,0,0,1,0,0,0,0
generation_method,swap_two_positions_168,1,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1,1,1,1,1,1,1,1
generation_method,swap_two_positions_272,1,11.0,11.0,10.0,10.0,20.0,20.0,15.0,15.0,0,0,0,1,0,0,0,0
generation_method,swap_two_positions_312,1,9.0,9.0,13.0,13.0,16.0,16.0,23.0,23.0,0,1,0,0,0,0,0,0
n,12,8,4.5,1.0,4.5,1.0,14.5,8.0,15.0,6.0,5,8,5,8,0,2,0,2
n,16,8,4.5,1.0,4.5,1.0,14.0,1.0,14.0,1.0,5,8,5,8,2,3,2,3
n,24,24,12.5,1.0,12.5,1.0,23.0,3.0,21.0,3.0,5,10,5,10,2,5,2,5
n,40,24,12.5,1.0,12.25,1.0,28.0,1.0,29.0,1.0,5,10,5,10,3,4,1,3
