n,category,position,strategy_name,dataset_source,value,rank_combined172_within_n
24,top5_mises,1,N24_A06_edge_in_alternating,probe60_run08,579942784.0,1.0
24,top5_mises,2,N24_A07_regular_jump_coprime,probe60_run08,579943104.0,2.0
24,top5_mises,3,S3R19B28_N24_B03_geometry_signal_top,batch28_run20,579943168.0,3.5
24,top5_mises,4,S3R24L64_N24_B18_tradeoff_probe,shortlist64_run27,579943168.0,3.5
24,top5_mises,5,S3R24L64_N24_B17_diversity_coverage,shortlist64_run27,579943296.0,5.0
24,worst3_mises,1,S3R19B28_N24_B08_known_best_mutation,batch28_run20,579944896.0,54.0
24,worst3_mises,2,S3B20_N24_B04_surrogate_top,batch20_run14,579944832.0,52.5
24,worst3_mises,3,S3R24L64_N24_B20_tradeoff_probe,shortlist64_run27,579944832.0,52.5
24,top5_reward_combined172_u2_primary,1,S3R19B28_N24_B10_known_best_mutation,batch28_run20,0.8377358490566038,1.0
24,top5_reward_combined172_u2_primary,2,N24_A04_method_c_u2_first_engineering,probe60_run08,0.8349056603773586,2.0
24,top5_reward_combined172_u2_primary,3,S3R24L64_N24_B23_exploitation_reference,shortlist64_run27,0.7981132075471697,3.0
24,top5_reward_combined172_u2_primary,4,S3R24L64_N24_B03_top_region,shortlist64_run27,0.7849056603773585,4.0
24,top5_reward_combined172_u2_primary,5,S3R19B28_N24_B08_known_best_mutation,batch28_run20,0.7849056603773584,5.0
40,top5_u2,1,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,5.95808796788333e-05,1.0
40,top5_u2,2,S3R19B28_N40_B01_surrogate_top,batch28_run20,8.087984315352514e-05,2.0
40,top5_u2,3,S3R24L64_N40_B05_top_region,shortlist64_run27,8.880928180587944e-05,3.0
40,top5_u2,4,S3B20_N40_B02_diversity_top,batch20_run14,8.922922461351845e-05,4.0
40,top5_u2,5,S3R24L64_N40_B03_top_region,shortlist64_run27,0.00010593635033728788,5.0
40,worst3_u2,1,N40_A07_regular_jump_coprime,probe60_run08,0.002076672622933984,54.0
40,worst3_u2,2,N40_A08_block_interleaved_quarters,probe60_run08,0.0020561176352202892,53.0
40,worst3_u2,3,N40_A09_center_edge_alternating,probe60_run08,0.0018988421652466059,52.0
40,top5_peeq,1,S3R19B28_N40_B05_diversity_top,batch28_run20,0.14422382414340973,1.0
40,top5_peeq,2,S3R19B28_N40_B07_control_sentinel,batch28_run20,0.1497652232646942,2.0
40,top5_peeq,3,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,0.15241271257400513,3.0
40,top5_peeq,4,S3R24L64_N40_B24_exploitation_reference,shortlist64_run27,0.15378627181053162,4.0
40,top5_peeq,5,S3R24L64_N40_B08_model_disagreement,shortlist64_run27,0.15381239354610443,5.0
40,worst3_peeq,1,N40_A06_edge_in_alternating,probe60_run08,0.20056912302970886,54.0
40,worst3_peeq,2,N40_A01_raster_left_to_right,probe60_run08,0.20001305639743805,53.0
40,worst3_peeq,3,S3R24L64_N40_B10_uncertainty_calibration,shortlist64_run27,0.18236134946346283,52.0
40,top5_surfaceT,1,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0,1.0
40,top5_surfaceT,2,N40_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,581541824.0,2.0
40,top5_surfaceT,3,S3R24L64_N40_B01_top_region,shortlist64_run27,581591424.0,3.0
40,top5_surfaceT,4,S3R24L64_N40_B04_top_region,shortlist64_run27,581768896.0,4.0
40,top5_surfaceT,5,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,581783552.0,5.0
40,worst3_surfaceT,1,S3R24L64_N40_B02_top_region,shortlist64_run27,598535360.0,54.0
40,worst3_surfaceT,2,S3R24L64_N40_B05_top_region,shortlist64_run27,595921664.0,53.0
40,worst3_surfaceT,3,N40_A07_regular_jump_coprime,probe60_run08,595582528.0,52.0
40,top5_mises,1,N40_A07_regular_jump_coprime,probe60_run08,579924032.0,1.0
40,top5_mises,2,N40_A09_center_edge_alternating,probe60_run08,579924096.0,2.0
40,top5_mises,3,N40_A08_block_interleaved_quarters,probe60_run08,579924416.0,3.0
40,top5_mises,4,N40_A12_graph_pointer_policy_diverse_02,probe60_run08,579924800.0,5.0
40,top5_mises,5,S3R24L64_N40_B20_tradeoff_probe,shortlist64_run27,579924800.0,5.0
40,worst3_mises,1,S3R24L64_N40_B09_model_disagreement,shortlist64_run27,579929024.0,54.0
40,worst3_mises,2,S3R24L64_N40_B07_model_disagreement,shortlist64_run27,579928896.0,53.0
40,worst3_mises,3,N40_A01_raster_left_to_right,probe60_run08,579928512.0,52.0
40,top5_reward_combined172_u2_primary,1,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,0.9212264150943397,1.0
40,top5_reward_combined172_u2_primary,2,N40_A04_method_c_u2_first_engineering,probe60_run08,0.8759433962264151,2.0
40,top5_reward_combined172_u2_primary,3,S3B20_N40_B02_diversity_top,batch20_run14,0.8533018867924528,3.0
40,top5_reward_combined172_u2_primary,4,S3B20_N40_B05_surrogate_top,batch20_run14,0.8037735849056604,4.0
40,top5_reward_combined172_u2_primary,5,S3R19B28_N40_B01_surrogate_top,batch28_run20,0.7844339622641509,5.0
