n,category,position,strategy_name,dataset_source,value,selection_bucket,priority_role
40,top5_surfaceT,4,S3R24L64_N40_B24_exploitation_reference,shortlist64_run27,582096064.0,exploitation_reference,top_region_local_search
40,top5_surfaceT,5,S3R24L64_N40_B08_model_disagreement,shortlist64_run27,582634112.0,model_disagreement,diversity
40,top5_mises,1,S3R24L64_N40_B20_tradeoff_probe,shortlist64_run27,579924800.0,tradeoff_probe,uncertainty
40,top5_mises,2,S3R24L64_N40_B21_sentinel_control,shortlist64_run27,579924800.0,sentinel_control,tradeoff
40,top5_mises,3,S3R24L64_N40_B14_diversity_coverage,shortlist64_run27,579925056.0,diversity_coverage,calibration
40,top5_mises,4,S3R24L64_N40_B17_diversity_coverage,shortlist64_run27,579925184.0,diversity_coverage,calibration
40,top5_mises,5,S3R24L64_N40_B03_top_region,shortlist64_run27,579925632.0,top_region_local_search,tradeoff
40,top5_reward_run27_u2_primary,1,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,0.9293478260869567,exploitation_reference,uncertainty
40,top5_reward_run27_u2_primary,2,S3R24L64_N40_B04_top_region,shortlist64_run27,0.8021739130434783,top_region_local_search,top_region_local_search
40,top5_reward_run27_u2_primary,3,S3R24L64_N40_B03_top_region,shortlist64_run27,0.7891304347826087,top_region_local_search,tradeoff
40,top5_reward_run27_u2_primary,4,S3R24L64_N40_B08_model_disagreement,shortlist64_run27,0.7630434782608695,model_disagreement,diversity
40,top5_reward_run27_u2_primary,5,S3R24L64_N40_B05_top_region,shortlist64_run27,0.7347826086956523,top_region_local_search,uncertainty
