step,i,j,s_new,rank_i,rank_j
223,15,3,0.282842853897,15,9
224,5,9,0.27487412877,10,12
225,9,5,0.27487412877,12,10
226,7,7,0.266667133333,11,11
227,5,11,0.253859514956,10,13
228,11,5,0.253859514956,13,10
229,5,13,0.240370436342,10,14
230,13,5,0.240370436342,14,10
231,7,9,0.235702778941,11,12
232,9,7,0.235702778941,12,11
233,5,15,0.235702496099,10,15
234,15,5,0.235702496099,15,10
235,7,11,0.210819037724,11,13
236,11,7,0.210819037724,13,11
237,9,9,0.2000006,12,12
238,7,13,0.194365531925,11,14
239,13,7,0.194365531925,14,11
240,7,15,0.188562138301,11,15
241,15,7,0.188562138301,15,11
242,9,11,0.169967957766,12,13
243,11,9,0.169967957766,13,12
244,9,13,0.149071794785,12,14
245,13,9,0.149071794785,14,12
246,9,15,0.141421780503,12,15
247,15,9,0.141421780503,15,12
248,11,11,0.133334066667,13,13
249,11,13,0.105409993204,13,14
250,13,11,0.105409993204,14,13
251,11,15,0.0942814227058,13,15
252,15,11,0.0942814227058,15,13
253,13,13,0.0666675333333,14,14
254,13,15,0.0471410649103,14,15
255,15,13,0.0471410649103,15,14
256,15,15,1e-06,15,15
