case_i,case_j,n,strategy_i,strategy_j,order_i,order_j,reward_mean_all_i,reward_mean_all_j,u2_rank_i,u2_rank_j,peeq_rank_i,peeq_rank_j,surfaceT_rank_i,surfaceT_rank_j,preferred_by_reward_mean,preferred_by_u2,reward_margin,u2_rank_margin,peeq_rank_margin,surfaceT_rank_margin
N12_A04_method_c_u2_first_engineering,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,12,N12_A04_method_c_u2_first_engineering,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,"[0,2,4,6,8,10,5,3,1,7,9,11]","[0,5,11,6,4,8,7,2,3,1,9,10]",0.8357142857142857,0.47857142857142854,3.0,9.0,3.0,8.0,6.0,4.0,i,i,0.3571428571428572,6.0,5.0,2.0
N12_A05_center_out,N12_A06_edge_in_alternating,12,N12_A05_center_out,N12_A06_edge_in_alternating,"[5,6,4,7,3,8,2,9,1,10,0,11]","[0,11,1,10,2,9,3,8,4,7,5,6]",0.13285714285714287,0.2371428571428571,15.0,11.0,9.0,15.0,3.0,2.0,j,j,0.10428571428571423,4.0,6.0,1.0
N12_A05_center_out,N12_A07_regular_jump_coprime,12,N12_A05_center_out,N12_A07_regular_jump_coprime,"[5,6,4,7,3,8,2,9,1,10,0,11]","[0,5,10,3,8,1,6,11,4,9,2,7]",0.13285714285714287,0.6928571428571428,15.0,5.0,9.0,5.0,3.0,8.0,j,j,0.5599999999999999,10.0,4.0,5.0
N12_A05_center_out,N12_A08_block_interleaved_quarters,12,N12_A05_center_out,N12_A08_block_interleaved_quarters,"[5,6,4,7,3,8,2,9,1,10,0,11]","[0,3,6,9,1,4,7,10,2,5,8,11]",0.13285714285714287,0.9042857142857142,15.0,1.0,9.0,2.0,3.0,11.0,j,j,0.7714285714285714,14.0,7.0,8.0
N12_A05_center_out,N12_A09_center_edge_alternating,12,N12_A05_center_out,N12_A09_center_edge_alternating,"[5,6,4,7,3,8,2,9,1,10,0,11]","[5,0,6,11,4,1,7,10,3,2,8,9]",0.13285714285714287,0.2235714285714286,15.0,12.0,9.0,13.0,3.0,1.0,j,j,0.09071428571428572,3.0,4.0,2.0
N12_A05_center_out,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,12,N12_A05_center_out,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,"[5,6,4,7,3,8,2,9,1,10,0,11]","[0,11,2,5,4,8,6,1,10,3,7,9]",0.13285714285714287,0.69,15.0,4.0,9.0,6.0,3.0,12.0,j,j,0.557142857142857,11.0,3.0,9.0
N12_A05_center_out,N12_A11_graph_pointer_policy_diverse_01,12,N12_A05_center_out,N12_A11_graph_pointer_policy_diverse_01,"[5,6,4,7,3,8,2,9,1,10,0,11]","[0,5,11,10,1,3,8,2,9,6,4,7]",0.13285714285714287,0.4985714285714285,15.0,6.0,9.0,12.0,3.0,10.0,j,j,0.36571428571428566,9.0,3.0,7.0
N12_A05_center_out,N12_A12_graph_pointer_policy_diverse_02,12,N12_A05_center_out,N12_A12_graph_pointer_policy_diverse_02,"[5,6,4,7,3,8,2,9,1,10,0,11]","[4,7,3,8,2,9,1,10,0,11,5,6]",0.13285714285714287,0.1407142857142857,15.0,14.0,9.0,11.0,3.0,5.0,j,j,0.00785714285714284,1.0,2.0,2.0
N12_A05_center_out,N12_A13_graph_pointer_policy_anti_odd_even_novelty,12,N12_A05_center_out,N12_A13_graph_pointer_policy_anti_odd_even_novelty,"[5,6,4,7,3,8,2,9,1,10,0,11]","[1,10,3,8,5,6,7,4,9,2,11,0]",0.13285714285714287,0.6428571428571428,15.0,7.0,9.0,1.0,3.0,9.0,j,j,0.5099999999999999,8.0,8.0,6.0
N12_A05_center_out,N12_A14_graph_pointer_policy_u2first_proxy,12,N12_A05_center_out,N12_A14_graph_pointer_policy_u2first_proxy,"[5,6,4,7,3,8,2,9,1,10,0,11]","[0,5,2,6,4,7,8,3,10,1,9,11]",0.13285714285714287,0.42142857142857143,15.0,10.0,9.0,7.0,3.0,7.0,j,j,0.2885714285714286,5.0,2.0,4.0
N12_A05_center_out,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,12,N12_A05_center_out,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,"[5,6,4,7,3,8,2,9,1,10,0,11]","[0,5,11,6,4,8,7,2,3,1,9,10]",0.13285714285714287,0.47857142857142854,15.0,9.0,9.0,8.0,3.0,4.0,j,j,0.34571428571428564,6.0,1.0,1.0
N12_A06_edge_in_alternating,N12_A07_regular_jump_coprime,12,N12_A06_edge_in_alternating,N12_A07_regular_jump_coprime,"[0,11,1,10,2,9,3,8,4,7,5,6]","[0,5,10,3,8,1,6,11,4,9,2,7]",0.2371428571428571,0.6928571428571428,11.0,5.0,15.0,5.0,2.0,8.0,j,j,0.45571428571428574,6.0,10.0,6.0
N12_A06_edge_in_alternating,N12_A08_block_interleaved_quarters,12,N12_A06_edge_in_alternating,N12_A08_block_interleaved_quarters,"[0,11,1,10,2,9,3,8,4,7,5,6]","[0,3,6,9,1,4,7,10,2,5,8,11]",0.2371428571428571,0.9042857142857142,11.0,1.0,15.0,2.0,2.0,11.0,j,j,0.6671428571428571,10.0,13.0,9.0
N12_A06_edge_in_alternating,N12_A09_center_edge_alternating,12,N12_A06_edge_in_alternating,N12_A09_center_edge_alternating,"[0,11,1,10,2,9,3,8,4,7,5,6]","[5,0,6,11,4,1,7,10,3,2,8,9]",0.2371428571428571,0.2235714285714286,11.0,12.0,15.0,13.0,2.0,1.0,i,i,0.013571428571428512,1.0,2.0,1.0
N12_A06_edge_in_alternating,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,12,N12_A06_edge_in_alternating,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,"[0,11,1,10,2,9,3,8,4,7,5,6]","[0,11,2,5,4,8,6,1,10,3,7,9]",0.2371428571428571,0.69,11.0,4.0,15.0,6.0,2.0,12.0,j,j,0.45285714285714285,7.0,9.0,10.0
N12_A06_edge_in_alternating,N12_A11_graph_pointer_policy_diverse_01,12,N12_A06_edge_in_alternating,N12_A11_graph_pointer_policy_diverse_01,"[0,11,1,10,2,9,3,8,4,7,5,6]","[0,5,11,10,1,3,8,2,9,6,4,7]",0.2371428571428571,0.4985714285714285,11.0,6.0,15.0,12.0,2.0,10.0,j,j,0.2614285714285714,5.0,3.0,8.0
N12_A06_edge_in_alternating,N12_A12_graph_pointer_policy_diverse_02,12,N12_A06_edge_in_alternating,N12_A12_graph_pointer_policy_diverse_02,"[0,11,1,10,2,9,3,8,4,7,5,6]","[4,7,3,8,2,9,1,10,0,11,5,6]",0.2371428571428571,0.1407142857142857,11.0,14.0,15.0,11.0,2.0,5.0,i,i,0.09642857142857139,3.0,4.0,3.0
N12_A06_edge_in_alternating,N12_A13_graph_pointer_policy_anti_odd_even_novelty,12,N12_A06_edge_in_alternating,N12_A13_graph_pointer_policy_anti_odd_even_novelty,"[0,11,1,10,2,9,3,8,4,7,5,6]","[1,10,3,8,5,6,7,4,9,2,11,0]",0.2371428571428571,0.6428571428571428,11.0,7.0,15.0,1.0,2.0,9.0,j,j,0.4057142857142857,4.0,14.0,7.0
