n,strategy_name,strategy_family,candidate_group,first_track,last_track,center_track_index,first_track_norm,last_track_norm,mean_jump,median_jump,max_jump,min_jump,std_jump,total_jump,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,jump_entropy,running_center_distance_mean,early_center_bias,late_center_bias,edge_early_count,center_early_count,odd_even_transition_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,is_raster_like,is_center_out_like,is_edge_in_like,is_odd_even_like,is_regular_jump_like,is_block_interleaved_like
12,N12_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,proxy_fallback_policy,0,7,5.5,0.0,0.6363636363636364,4.454545454545454,5,9,1,2.3496087242400154,49,0.4049586776859504,0.8181818181818182,1,4,2.7321588913645702,0.5454545454545455,0.6969696969696969,0.21212121212121213,2,1,7,0.6363636363636364,0.4,6,0.2916666666666667,0.9166666666666666,False,False,False,False,False,False
12,N12_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,proxy_fallback_policy,4,6,5.5,0.36363636363636365,0.5454545454545454,6.363636363636363,6,11,1,2.9005556606443306,70,0.5785123966942148,1.0,1,7,3.277613436819116,0.5454545454545455,0.3333333333333333,0.393939393939394,0,3,6,0.5454545454545454,0.0,10,0.2222222222222222,0.5833333333333334,False,False,False,False,False,False
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,1,0,5.5,0.09090909090909091,0.0,5.545454545454546,5,11,1,3.201239429392547,61,0.5041322314049587,1.0,2,5,2.5503407095463886,0.5454545454545455,0.6969696969696969,0.8787878787878788,2,1,11,1.0,0.1,9,0.25,0.8333333333333334,False,False,False,True,False,False
12,N12_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,proxy_fallback_policy,0,11,5.5,0.0,1.0,4.454545454545454,4,9,1,2.4995867427031855,49,0.4049586776859504,0.8181818181818182,1,3,2.9139770731827523,0.5454545454545455,0.5757575757575758,0.8181818181818182,2,1,7,0.6363636363636364,0.2,8,0.3194444444444445,0.9166666666666666,False,False,False,False,False,False
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,proxy_fallback_policy,0,10,5.5,0.0,0.9090909090909091,3.6363636363636362,4,8,1,2.2672661660618045,40,0.3305785123966942,0.7272727272727273,3,2,2.413088436425758,0.5454545454545455,0.6969696969696969,0.7575757575757577,2,1,6,0.5454545454545454,0.4,6,0.2986111111111111,0.9166666666666666,False,False,False,False,False,False
16,N16_A01_raster_left_to_right,raster,engineering_baseline,0,15,7.5,0.0,1.0,1.0,1,1,1,0.0,15,0.06666666666666667,0.06666666666666667,15,0,-0.0,0.5333333333333333,0.8,0.8,4,0,15,1.0,1.0,0,0.46875,0.9375,True,False,False,False,False,False
16,N16_A02_odd_even_interlaced,odd_even,engineering_baseline,0,15,7.5,0.0,1.0,2.7333333333333334,2,13,2,2.7438820836342237,41,0.18222222222222223,0.8666666666666667,0,1,0.35335933502142136,0.5333333333333333,0.6,0.6,2,2,1,0.06666666666666667,0.8571428571428571,2,0.27734375,0.9375,False,False,False,True,False,False
16,N16_A03_greedy_maximin_distance,maximin,engineering_baseline,0,14,7.5,0.0,0.9333333333333333,4.666666666666667,2,15,1,4.060651288757616,70,0.3111111111111111,1.0,1,4,2.1464657985040723,0.5333333333333333,0.6333333333333333,0.4666666666666667,2,2,2,0.13333333333333333,0.5714285714285714,6,0.234375,0.9375,False,False,False,False,False,False
16,N16_A04_method_c_u2_first_engineering,method_c,engineering_baseline,0,15,7.5,0.0,1.0,2.7333333333333334,2,8,2,1.8785337071473829,41,0.18222222222222223,0.5333333333333333,0,1,0.6998428398862386,0.5333333333333333,0.6,0.6,2,2,1,0.06666666666666667,0.8571428571428571,2,0.27734375,0.9375,False,False,False,False,False,False
16,N16_A05_center_out,center_out,engineering_baseline,7,15,7.5,0.4666666666666667,1.0,8.0,8,15,1,4.320493798938574,120,0.5333333333333333,1.0,1,8,3.906890595608518,0.5333333333333333,0.13333333333333333,0.9333333333333333,0,4,8,0.5333333333333333,0.0,14,0.25,0.5,False,True,False,False,False,False
