command_index,command_text,starts_enqueue_inp,has_cpus_14,has_gpus,batch_ok,strategy_name,inp_path,n,inp_exists,inp_nonzero,under_case_root,bad_schema,is_n32,verdict,notes
21,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B05_diverse_tophalf\J2D_PPOV01_N24_B05_diverse_tophalf.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N24_B05_diverse_tophalf",True,True,False,True,PPOV01_N24_B05_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B05_diverse_tophalf\J2D_PPOV01_N24_B05_diverse_tophalf.inp,24,True,True,True,False,False,PASS,
22,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B06_diverse_tophalf\J2D_PPOV01_N24_B06_diverse_tophalf.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N24_B06_diverse_tophalf",True,True,False,True,PPOV01_N24_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B06_diverse_tophalf\J2D_PPOV01_N24_B06_diverse_tophalf.inp,24,True,True,True,False,False,PASS,
23,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B07_novelty_tophalf\J2D_PPOV01_N24_B07_novelty_tophalf.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N24_B07_novelty_tophalf",True,True,False,True,PPOV01_N24_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B07_novelty_tophalf\J2D_PPOV01_N24_B07_novelty_tophalf.inp,24,True,True,True,False,False,PASS,
24,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B08_stochastic_highreward\J2D_PPOV01_N24_B08_stochastic_highreward.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N24_B08_stochastic_highreward",True,True,False,True,PPOV01_N24_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B08_stochastic_highreward\J2D_PPOV01_N24_B08_stochastic_highreward.inp,24,True,True,True,False,False,PASS,
25,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B01_deterministic\J2D_PPOV01_N40_B01_deterministic.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N40_B01_deterministic",True,True,False,True,PPOV01_N40_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B01_deterministic\J2D_PPOV01_N40_B01_deterministic.inp,40,True,True,True,False,False,PASS,
26,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B02_surrogate_top\J2D_PPOV01_N40_B02_surrogate_top.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N40_B02_surrogate_top",True,True,False,True,PPOV01_N40_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B02_surrogate_top\J2D_PPOV01_N40_B02_surrogate_top.inp,40,True,True,True,False,False,PASS,
27,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B03_surrogate_top\J2D_PPOV01_N40_B03_surrogate_top.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N40_B03_surrogate_top",True,True,False,True,PPOV01_N40_B03_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B03_surrogate_top\J2D_PPOV01_N40_B03_surrogate_top.inp,40,True,True,True,False,False,PASS,
28,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B04_surrogate_top\J2D_PPOV01_N40_B04_surrogate_top.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N40_B04_surrogate_top",True,True,False,True,PPOV01_N40_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B04_surrogate_top\J2D_PPOV01_N40_B04_surrogate_top.inp,40,True,True,True,False,False,PASS,
29,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B05_diverse_tophalf\J2D_PPOV01_N40_B05_diverse_tophalf.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N40_B05_diverse_tophalf",True,True,False,True,PPOV01_N40_B05_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B05_diverse_tophalf\J2D_PPOV01_N40_B05_diverse_tophalf.inp,40,True,True,True,False,False,PASS,
30,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B06_diverse_tophalf\J2D_PPOV01_N40_B06_diverse_tophalf.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N40_B06_diverse_tophalf",True,True,False,True,PPOV01_N40_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B06_diverse_tophalf\J2D_PPOV01_N40_B06_diverse_tophalf.inp,40,True,True,True,False,False,PASS,
31,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B07_novelty_tophalf\J2D_PPOV01_N40_B07_novelty_tophalf.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N40_B07_novelty_tophalf",True,True,False,True,PPOV01_N40_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B07_novelty_tophalf\J2D_PPOV01_N40_B07_novelty_tophalf.inp,40,True,True,True,False,False,PASS,
32,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B08_stochastic_highreward\J2D_PPOV01_N40_B08_stochastic_highreward.inp"" --cpus 14 --batch stage3_ppo_policy_only_batch32_v01 --strategy PPOV01_N40_B08_stochastic_highreward",True,True,False,True,PPOV01_N40_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B08_stochastic_highreward\J2D_PPOV01_N40_B08_stochastic_highreward.inp,40,True,True,True,False,False,PASS,
