candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,penalty_repair_score,two_stage_guarded_score,two_stage_penalty_repair_score,no_penalty_worse_than_median_score,N24_maintenance_score,N40_u2_reward_retention_score,N40_penalty_repair_score,N12_recovery_score,N16_recovery_score,variable_N_recovery_score,N40_followup_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status
R73_N16_C00189,N16_R73_N16_C00189_N16_final_diag_surrogate_top,16.0,N16_final_diag_surrogate_top,existing_pool_selection,N16_final_diag_surrogate_top,constrained_reward_balance,0.8784126984126981,0.8757460317460314,0.8784126984126981,0.8784126984126981,0.8784126984126981,0.8773460317460315,0.8776126984126982,0.8769460317460314,0.8774793650793647,0.8784126984126981,0.8770793650793648,0.8770793650793648,0.8776126984126982,0.8769460317460315,0.8769460317460315,0.8769460317460316,0.8773460317460314,0.8446095238095235,0.8,0.8776126984126982,0.8727860317460315,0.020008132647251257,0.03380317460317461,0.125,S3R69SNR_N16_B01_n16_run66_local,"[14,8,4,6,12,10,2,0,1,3,5,7,9,11,13,15]",14-8-4-6-12-10-2-0-1-3-5-7-9-11-13-15,e198f4b34b0fa657,0.9333333333333333,1.0,0.2,0.5333333333333333,1.0,1.0,0.06666666666666667,0.06666666666666667,3.0,1.0,0.0044444444444444444,0.13109227736669,0.0,0.25,6.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B01_n16_final_diag_surrogate_top,False,NOT_RUN
R73_N16_C00029,N16_R73_N16_C00029_N16_final_diag_surrogate_top,16.0,N16_final_diag_surrogate_top,existing_pool_selection,N16_final_diag_surrogate_top,constrained_reward_balance,0.8539682539682543,0.8513015873015876,0.8481349206349209,0.8539682539682543,0.8539682539682543,0.8511515873015876,0.8514182539682543,0.8513203373015876,0.8515182539682543,0.8481349206349209,0.8511765873015876,0.8511765873015876,0.8514182539682543,0.851334920634921,0.851334920634921,0.851334920634921,0.8513295039682542,0.8211428571428574,0.8,0.852584920634921,0.8471343789682543,0.005189866623287651,0.03282539682539687,0.125,S3R69SNR_N16_B02_n16_run66_local,"[14,6,4,8,10,12,2,0,1,3,5,7,9,11,13,15]",14-6-4-8-10-12-2-0-1-3-5-7-9-11-13-15,b459805c4b47a188,0.9333333333333333,1.0,0.2,0.6666666666666666,1.0,2.0,0.06666666666666667,0.06666666666666667,3.0,1.0,0.0044444444444444444,0.1632993161855452,0.0,0.25,8.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B02_n16_final_diag_surrogate_top,False,NOT_RUN
R73_N16_C00608,N16_R73_N16_C00608_N16_final_diag_surrogate_top,16.0,N16_final_diag_surrogate_top,existing_pool_selection,N16_final_diag_surrogate_top,constrained_reward_balance,0.8200529100529099,0.8170306878306877,0.8200529100529099,0.8200529100529099,0.8200529100529099,0.818844021164021,0.8191462433862432,0.8183906878306877,0.8189951322751321,0.8200529100529099,0.8185417989417988,0.8185417989417988,0.8191462433862432,0.8183906878306877,0.8183906878306877,0.8183906878306877,0.818844021164021,0.7885841269841268,0.7911111111111111,0.8191462433862432,0.818436021164021,0.019147959774210802,0.03146878306878309,0.25,S3R69SNR_N16_B02_n16_run66_local,"[12,10,4,8,14,6,2,0,1,3,5,7,9,11,13,15]",12-10-4-8-14-6-2-0-1-3-5-7-9-11-13-15,27fd6ded94108562,0.8,1.0,0.20888888888888887,0.5333333333333333,1.0,1.0,0.06666666666666667,0.06666666666666667,3.0,1.0,0.013333333333333334,0.13079056861833033,0.0,0.25,13.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B03_n16_final_diag_surrogate_top,False,NOT_RUN
R73_N16_C02232,N16_R73_N16_C02232_N16_final_diag_surrogate_top,16.0,N16_final_diag_surrogate_top,existing_pool_selection,N16_final_diag_surrogate_top,constrained_reward_balance,0.7917063492063493,0.788684126984127,0.785873015873016,0.7914920634920636,0.7917063492063493,0.7887046031746033,0.7889961111111111,0.7888291269841271,0.7890831547619048,0.785873015873016,0.788704761904762,0.788704761904762,0.7889961111111111,0.7888453174603176,0.7888453174603176,0.7888453174603176,0.7888824126984127,0.7613714285714286,0.7911111111111111,0.7901949206349206,0.7888490269841271,0.014831705852161607,0.030334920634920715,0.25,S3R69SNR_N16_B03_n16_run66_local,"[14,8,6,4,12,10,0,2,1,3,5,7,9,11,13,15]",14-8-6-4-12-10-0-2-1-3-5-7-9-11-13-15,52c626e38596eaa9,0.9333333333333333,1.0,0.20888888888888887,0.6666666666666666,1.0,2.0,0.06666666666666667,0.06666666666666667,5.0,1.0,0.0044444444444444444,0.17017057528068133,0.0,0.25,20.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B04_n16_final_diag_surrogate_top,False,NOT_RUN
R73_N16_C00180,N16_R73_N16_C00180_N16_local_search_around_Run71_best,16.0,N16_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N16_local_search_around_Run71_best,constrained_reward_balance,0.8856349206349204,0.8829682539682537,0.8856349206349204,0.8856349206349204,0.8856349206349204,0.8845682539682538,0.8848349206349204,0.8841682539682538,0.8847015873015871,0.8856349206349204,0.884301587301587,0.884301587301587,0.8848349206349204,0.8841682539682538,0.8841682539682538,0.8841682539682538,0.8845682539682538,0.8515428571428569,0.8,0.8848349206349204,0.8842082539682539,0.018364870870491642,0.03409206349206351,0.6875,S3B20_N16_B03_method_c_inspired,"[15,13,11,9,7,5,3,1,0,2,10,12,8,4,6,14]",15-13-11-9-7-5-3-1-0-2-10-12-8-4-6-14,e3e2590642bd2c5b,1.0,0.9333333333333333,0.2,0.5333333333333333,1.0,2.0,0.06666666666666667,0.06666666666666667,3.0,1.0,-0.0044444444444444444,0.13984117975602023,0.25,0.0,2.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B05_n16_around_Run71_best,False,NOT_RUN
R73_N16_C00162,N16_R73_N16_C00162_N16_local_search_around_Run71_best,16.0,N16_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N16_local_search_around_Run71_best,constrained_reward_balance,0.8784126984126981,0.8764571428571425,0.8784126984126981,0.8784126984126981,0.8784126984126981,0.877630476190476,0.8778260317460316,0.8773371428571426,0.8777282539682536,0.8784126984126981,0.8774349206349203,0.8774349206349203,0.8778260317460316,0.8773371428571426,0.8773371428571426,0.8773371428571426,0.877630476190476,0.8446095238095235,0.8177777777777777,0.8778260317460315,0.8773664761904759,0.019457104391641892,0.03380317460317461,0.25,S3R69SNR_N16_B02_n16_run66_local,"[14,12,8,4,6,10,2,0,1,3,5,7,9,11,13,15]",14-12-8-4-6-10-2-0-1-3-5-7-9-11-13-15,cb0a72a06b7d08c9,0.9333333333333333,1.0,0.18222222222222223,0.5333333333333333,1.0,1.0,0.06666666666666667,0.06666666666666667,3.0,1.0,0.0044444444444444444,0.11012899282990102,0.0,0.25,3.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B06_n16_around_Run71_best,False,NOT_RUN
R73_N16_C00316,N16_R73_N16_C00316_N16_local_search_around_Run71_best,16.0,N16_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N16_local_search_around_Run71_best,constrained_reward_balance,0.8746031746031744,0.8719365079365077,0.8746031746031744,0.8746031746031744,0.8746031746031744,0.8735365079365078,0.8738031746031744,0.8731365079365077,0.873669841269841,0.8746031746031744,0.8732698412698411,0.8732698412698411,0.8738031746031744,0.8731365079365078,0.8731365079365078,0.8731365079365079,0.8735365079365077,0.8409523809523807,0.8,0.8738031746031745,0.8689765079365078,0.010698711473436815,0.03365079365079371,0.125,S3R69SNR_N16_B02_n16_run66_local,"[14,10,4,8,12,6,2,0,1,3,5,7,9,11,13,15]",14-10-4-8-12-6-2-0-1-3-5-7-9-11-13-15,61430aece28016e5,0.9333333333333333,1.0,0.2,0.4,1.0,0.0,0.06666666666666667,0.06666666666666667,3.0,1.0,0.0044444444444444444,0.10036968702787746,0.0,0.25,7.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B07_n16_around_Run71_best,False,NOT_RUN
R73_N16_C01705,N16_R73_N16_C01705_N16_final_diag_u2_safe,16.0,N16_final_diag_u2_safe,offline_mutation_or_pointer_proxy,N16_final_diag_u2_safe,constrained_reward_balance,0.7957142857142857,0.7934031746031746,0.7898809523809524,0.7955,0.7957142857142857,0.7929969841269842,0.7932173809523809,0.7932281746031746,0.7933399801587302,0.7898809523809524,0.7930682539682539,0.7930682539682539,0.7932173809523809,0.793244365079365,0.793244365079365,0.793244365079365,0.7931747936507937,0.7652190476190476,0.8088888888888889,0.7944161904761905,0.7932374079365079,0.012505038937125122,0.03049523809523813,0.25,S3R69SNR_N16_B09_n16_recovery_top,"[8,6,10,12,14,4,2,0,1,3,7,5,9,11,13,15]",8-6-10-12-14-4-2-0-1-3-7-5-9-11-13-15,540180bfecc4992f,0.5333333333333333,1.0,0.19111111111111112,0.6666666666666666,1.0,1.0,0.06666666666666667,0.06666666666666667,5.0,1.0,0.03111111111111111,0.1395583863831785,0.0,0.25,18.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B08_n16_final_diag_u2_safe,False,NOT_RUN
R73_N16_C00579,N16_R73_N16_C00579_N16_final_diag_u2_safe,16.0,N16_final_diag_u2_safe,offline_mutation_or_pointer_proxy,N16_final_diag_u2_safe,constrained_reward_balance,0.7737301587301587,0.7714190476190476,0.7737301587301587,0.773515873015873,0.7737301587301587,0.7727628571428571,0.772983253968254,0.7724252976190475,0.7728725198412698,0.773515873015873,0.7725424603174602,0.7725424603174602,0.772983253968254,0.7724269047619048,0.7724269047619048,0.7724269047619048,0.7727627499999999,0.7441142857142856,0.8088888888888889,0.7730153968253968,0.7682604892857143,0.0032562077656000275,0.029615873015873095,0.125,S3R69SNR_N16_B09_n16_recovery_top,"[8,6,10,14,12,4,2,0,1,3,7,5,9,11,13,15]",8-6-10-14-12-4-2-0-1-3-7-5-9-11-13-15,b7083558d9854aeb,0.5333333333333333,1.0,0.19111111111111112,0.5333333333333333,1.0,1.0,0.06666666666666667,0.06666666666666667,5.0,1.0,0.03111111111111111,0.11119996447286046,0.0,0.25,29.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B09_n16_final_diag_u2_safe,False,NOT_RUN
R73_N16_C00123,N16_R73_N16_C00123_N16_final_diag_u2_safe,16.0,N16_final_diag_u2_safe,offline_mutation_or_pointer_proxy,N16_final_diag_u2_safe,constrained_reward_balance,0.7720634920634921,0.7683301587301588,0.7720634920634921,0.7718492063492064,0.7720634920634921,0.7705273015873018,0.7708899206349207,0.7699764087301588,0.7707080753968254,0.7718492063492064,0.7701646825396826,0.7701646825396826,0.7708899206349207,0.7699780158730161,0.7699780158730161,0.7699780158730161,0.7705271944444445,0.7425142857142857,0.7733333333333333,0.7709220634920635,0.7700329337301589,0.013054033014041797,0.029549206349206436,0.1875,S3R69SNR_N16_B09_n16_recovery_top,"[12,6,4,8,14,10,2,0,1,3,7,5,9,11,13,15]",12-6-4-8-14-10-2-0-1-3-7-5-9-11-13-15,6ec02903e0677b28,0.8,1.0,0.22666666666666666,0.5333333333333333,1.0,1.0,0.06666666666666667,0.06666666666666667,5.0,1.0,0.013333333333333334,0.12835136958394358,0.0,0.25,27.0,final_smallN_diagnostic_batch24,S3R73FSD_N16_B10_n16_final_diag_u2_safe,False,NOT_RUN
