n,leaderboard,rank,strategy_name,dataset_source,metric_value,u2_range,peeq_max,surface_t_proxy,mises_max
16,top_surfaceT,4,S3R34N32INF_N16_B03_hybrid_agree,run36_N32_informed_native_batch32,583986816.0,8.978642154033878e-05,0.1544402092695236,583986816.0,579947264.0
24,top_surfaceT,1,S3R34N32INF_N24_B01_graph_pointer,run36_N32_informed_native_batch32,581126080.0,8.404852360399673e-05,0.1512167304754257,581126080.0,579944640.0
24,top_surfaceT,2,S3R34N32INF_N24_B08_n24_calibration,run36_N32_informed_native_batch32,581614144.0,5.9892929130000994e-05,0.1561369895935058,581614144.0,579944768.0
24,top_surfaceT,3,S3R34N32INF_N24_B07_sentinel,run36_N32_informed_native_batch32,582095296.0,0.0001576931415456,0.1516375094652176,582095296.0,579944256.0
24,top_surfaceT,4,S3R34N32INF_N24_B03_hybrid_agree,run36_N32_informed_native_batch32,582266176.0,0.0002418987551209,0.1546439528465271,582266176.0,579944320.0
24,top_surfaceT,5,S3R34N32INF_N24_B10_n24_calibration,run36_N32_informed_native_batch32,583110016.0,3.273940910730744e-05,0.1578422635793686,583110016.0,579944384.0
40,top_surfaceT,1,S3R34N32INF_N40_B10_n40_best_near,run36_N32_informed_native_batch32,581764736.0,6.680645856249612e-05,0.1554957032203674,581764736.0,579927616.0
40,top_surfaceT,2,S3R34N32INF_N40_B09_n40_best_near,run36_N32_informed_native_batch32,581909696.0,9.528287046123296e-05,0.162568524479866,581909696.0,579928064.0
40,top_surfaceT,3,S3R34N32INF_N40_B04_hybrid_disagree,run36_N32_informed_native_batch32,582093376.0,0.0007251808672208,0.1524647027254104,582093376.0,579926464.0
40,top_surfaceT,4,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,582174208.0,5.696606240235269e-05,0.1578764021396637,582174208.0,579926528.0
40,top_surfaceT,5,S3R34N32INF_N40_B01_graph_pointer,run36_N32_informed_native_batch32,582261824.0,0.0002823198738042,0.156105950474739,582261824.0,579926528.0
12,top_mises,1,S3R34N32INF_N12_B04_hybrid_disagree,run36_N32_informed_native_batch32,579938432.0,5.994689445287804e-05,0.1500022262334823,581437888.0,579938432.0
12,top_mises,2,S3R34N32INF_N12_B02_surrogate_top,run36_N32_informed_native_batch32,579938560.0,3.5468697433316265e-05,0.1539434939622879,581848896.0,579938560.0
12,top_mises,3,S3R34N32INF_N12_B03_hybrid_agree,run36_N32_informed_native_batch32,579939520.0,5.269739813229535e-05,0.1545384377241134,581436224.0,579939520.0
12,top_mises,4,S3R34N32INF_N12_B01_graph_pointer,run36_N32_informed_native_batch32,579939584.0,5.744353620684706e-05,0.1684480607509613,582666752.0,579939584.0
16,top_mises,1,S3R34N32INF_N16_B02_surrogate_top,run36_N32_informed_native_batch32,579947136.0,9.155312864095322e-05,0.1565309762954712,582068416.0,579947136.0
16,top_mises,2,S3R34N32INF_N16_B03_hybrid_agree,run36_N32_informed_native_batch32,579947264.0,8.978642154033878e-05,0.1544402092695236,583986816.0,579947264.0
16,top_mises,3,S3R34N32INF_N16_B04_hybrid_disagree,run36_N32_informed_native_batch32,579948160.0,9.529680437481149e-05,0.1514548659324646,581461312.0,579948160.0
16,top_mises,4,S3R34N32INF_N16_B01_graph_pointer,run36_N32_informed_native_batch32,579948480.0,5.834493731526891e-05,0.1720538139343261,581969920.0,579948480.0
24,top_mises,1,S3R34N32INF_N24_B05_uncertainty,run36_N32_informed_native_batch32,579943296.0,0.0002087068096443,0.1554678678512573,583412992.0,579943296.0
24,top_mises,2,S3R34N32INF_N24_B12_n24_calibration,run36_N32_informed_native_batch32,579943488.0,5.430529381555971e-05,0.1596519500017166,585878784.0,579943488.0
24,top_mises,3,S3R34N32INF_N24_B11_n24_calibration,run36_N32_informed_native_batch32,579943616.0,4.1137876905850135e-05,0.1561603546142578,583126336.0,579943616.0
24,top_mises,4,S3R34N32INF_N24_B02_surrogate_top,run36_N32_informed_native_batch32,579944128.0,0.0002424270824121,0.1497802585363388,583834816.0,579944128.0
24,top_mises,5,S3R34N32INF_N24_B06_diversity,run36_N32_informed_native_batch32,579944128.0,0.000223823039505,0.1539438366889953,583285568.0,579944128.0
40,top_mises,1,S3R34N32INF_N40_B06_diversity,run36_N32_informed_native_batch32,579925120.0,0.0006026536907484,0.1472502499818802,585624640.0,579925120.0
40,top_mises,2,S3R34N32INF_N40_B03_hybrid_agree,run36_N32_informed_native_batch32,579925376.0,0.0007187606411207,0.1526638865470886,583502784.0,579925376.0
40,top_mises,3,S3R34N32INF_N40_B07_sentinel,run36_N32_informed_native_batch32,579926080.0,0.0006454233700878,0.1492619067430496,583033216.0,579926080.0
40,top_mises,4,S3R34N32INF_N40_B02_surrogate_top,run36_N32_informed_native_batch32,579926080.0,0.0006737644011991,0.1560283899307251,584050560.0,579926080.0
40,top_mises,5,S3R34N32INF_N40_B05_uncertainty,run36_N32_informed_native_batch32,579926464.0,0.0007050070043987,0.1488805264234542,583357120.0,579926464.0
12,top_reward,1,S3R34N32INF_N12_B02_surrogate_top,run36_N32_informed_native_batch32,0.8500000000000001,3.5468697433316265e-05,0.1539434939622879,581848896.0,579938560.0
12,top_reward,2,S3R34N32INF_N12_B03_hybrid_agree,run36_N32_informed_native_batch32,0.6166666666666668,5.269739813229535e-05,0.1545384377241134,581436224.0,579939520.0
