N,metric,value,value_type,claim_role
N16,PEEQ,0.17434175312519071,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,582880128,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579946944,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.0002397338296304,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.16137175261974329,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581517248,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579946816,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.0001174903159153,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.15198101103305811,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581337280,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579948288,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.00015728273911,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.16415087878704071,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,582433856,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579947264,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.0001736121434987,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.1645837575197219,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,582198912,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579947904,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00055237217088680002,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.18925029039382929,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,587159872,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944256,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,8.3603000348375645e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.1549861133098602,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,586226112,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579943936,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00029350291265469998,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.1646057963371276,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,584637632,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944576,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,5.6211723858723417e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.1543776392936706,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,581727232,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944640,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00062659911432659998,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.172961801290512,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,588072192,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944128,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.0005255469384337,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.1848475784063339,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,590591168,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579942784,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00023713416885580001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.16272647678852081,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,583243392,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579943104,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00062473978573499998,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.15462736785411829,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,584995648,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579943744,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00055463700164179995,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.17539091408252711,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,581775744,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579943744,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.0001888593301373,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.15415936708450309,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,583863616,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579943360,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00023075479816720001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.16373257339000699,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,589194880,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579943936,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00054290620130350003,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.1641553044319152,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,583079232,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579943936,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00023166264963939999,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.1621642112731933,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,581204672,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944256,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00037357585802049999,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.16229051351547241,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,583235840,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944640,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.0004410466524404,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.16614329814910889,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,583990144,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944128,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0015270577277988,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.20001305639743799,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,585953088,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579928512,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.00015956887364150001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.1578081995248794,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,587307392,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579927744,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.00068386519365040005,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.16065658628940579,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,585288896,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579926656,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0001108189990191,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.15395095944404599,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,582221504,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579926528,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0018341616960242,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.17962194979190821,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,588607232,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579925632,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0016398808220401001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.20056912302970881,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,595556480,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579926400,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0020766726229339001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.16310383379459381,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,595582528,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579924032,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0020561176352201999,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.15755376219749451,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,594139136,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579924416,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0018988421652466,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.17761614918708801,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,588119552,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579924096,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.000760835359415,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.15650783479213709,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,585921600,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579925632,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0017065715510398,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.1783028244972229,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,591114368,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579925952,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0017555009108036,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.172971487045288,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,584625472,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579924800,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.00067112787860420001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.1731724888086319,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,581541824,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579925760,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0011768606042323001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.1633206307888031,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,585949184,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579927232,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0012380398286495,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.16922278702259061,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,585095872,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579926784,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,3.767202088056365e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.14794705808162689,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,585915072,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579939584,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,2.3353248252533376e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.14696112275123591,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,582776448,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579939520,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,7.9037531577341724e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.15747925639152521,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,581229056,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579938368,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,3.2932137401076034e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.14267149567604059,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,582234944,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579939584,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,3.9311161344812717e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.14962293207645411,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,585543936,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579939584,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,5.2337948545755353e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.1504488587379455,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581672320,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579948352,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,7.4124738148384495e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.16351349651813499,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581958912,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579947200,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,6.6061941197403939e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
