dataset_source,n,strategy_name,handoff_strategy_name,job_name,candidate_id,candidate_family,selection_bucket,predicted_reward_mean_all,predicted_rank_within_n,predicted_uncertainty_std,novelty_distance_to_teacher,nearest_existing_teacher_strategy,order_json,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa,mises_max,teacher_validation_status,final_step,final_frame_time,extracted_fields,previous_reward_mean_all,u2_rank_combined80_within_n,u2_score_combined80_rank,u2_cost_minmax_combined80_within_n,peeq_rank_combined80_within_n,peeq_score_combined80_rank,peeq_cost_minmax_combined80_within_n,surfaceT_rank_combined80_within_n,surfaceT_score_combined80_rank,surfaceT_cost_minmax_combined80_within_n,mises_rank_combined80_within_n,mises_score_combined80_rank,mises_cost_minmax_combined80_within_n,reward_combined80_u2_primary,combined80_constrained_rank_within_n,combined80_pareto_flag_u2_peeq,combined80_pareto_flag_u2_peeq_surfaceT_mises,is_new_best_u2_within_n,is_new_best_peeq_within_n,is_new_best_surfaceT_within_n,is_new_best_combined_reward_within_n,original_run12_candidate_id,u2_rank_batch20_within_n,u2_cost_minmax_batch20_within_n,u2_score_batch20_rank,peeq_rank_batch20_within_n,peeq_cost_minmax_batch20_within_n,peeq_score_batch20_rank,surfaceT_rank_batch20_within_n,surfaceT_cost_minmax_batch20_within_n,surfaceT_score_batch20_rank,mises_rank_batch20_within_n,mises_cost_minmax_batch20_within_n,mises_score_batch20_rank,reward_batch20_u2_primary,batch20_constrained_rank_within_n,batch20_pareto_flag_u2_peeq,batch20_pareto_flag_u2_peeq_surfaceT_mises
probe60_run08,16,N16_A06_edge_in_alternating,,J2D_N16_N16_A06_edge_in_alternating,N16_A06,edge_in,,nan,nan,nan,nan,,"[0,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8]",0.00020532089024527522,0.1797565519809723,581764096.0,581.764096,579947776.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.27714285714285714,15.0,0.26315789473684215,0.6834368941768815,20.0,0.0,1.0,9.0,0.5789473684210527,0.12452405756483419,9.0,0.5789473684210527,0.64,0.2578947368421053,17,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A07_regular_jump_coprime,,J2D_N16_N16_A07_regular_jump_coprime,N16_A07,regular_jump,,nan,nan,nan,nan,,"[0,5,10,15,4,9,14,3,8,13,2,7,12,1,6,11]",0.0002763091160886688,0.16533087193965912,581433216.0,581.433216,579946752.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.17428571428571427,19.0,0.052631578947368474,0.9880916206107233,14.0,0.3157894736842105,0.532317540066909,4.0,0.8421052631578947,0.07686066986881045,1.0,1.0,0.0,0.2315789473684211,18,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A08_block_interleaved_quarters,,J2D_N16_N16_A08_block_interleaved_quarters,N16_A08,block_interleaved,,nan,nan,nan,nan,,"[0,4,8,12,1,5,9,13,2,6,10,14,3,7,11,15]",0.00016068820355030766,0.1505546271800995,582573376.0,582.573376,579948160.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.6185714285714285,12.0,0.42105263157894735,0.4918902145196076,4.0,0.8421052631578947,0.05326972547977633,14.0,0.3157894736842105,0.2411011441056892,13.5,0.3421052631578947,0.88,0.49078947368421055,11,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A09_center_edge_alternating,,J2D_N16_N16_A09_center_edge_alternating,N16_A09,center_edge,,nan,nan,nan,nan,,"[7,0,8,15,6,1,9,14,5,2,10,13,4,3,11,12]",0.00021473178685482708,0.17430327832698822,580899648.0,580.899648,579946944.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.275,16.0,0.21052631578947367,0.7238249176556653,17.0,0.1578947368421053,0.8232041449775963,1.0,1.0,0.0,4.5,0.8157894736842105,0.12,0.30921052631578955,15,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,,J2D_N16_N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,N16_A10,graph_pointer_proxy,,nan,nan,nan,nan,,"[0,15,2,7,4,11,6,3,8,5,10,9,12,13,14,1]",0.0001204781697197177,0.1701684147119522,581290304.0,581.290304,579948096.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.62,10.0,0.5263157894736843,0.31932389509110265,16.0,0.21052631578947367,0.6891513182526359,2.0,0.9473684210526316,0.05627414284265551,12.0,0.42105263157894735,0.84,0.5000000000000001,10,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A11_graph_pointer_policy_diverse_01,,J2D_N16_N16_A11_graph_pointer_policy_diverse_01,N16_A11,graph_pointer_proxy,,nan,nan,nan,nan,,"[0,5,15,10,1,14,4,2,9,13,3,12,8,11,7,6]",0.00018299555517842236,0.17434175312519073,582880128.0,582.880128,579946944.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.31,14.0,0.3157894736842105,0.5876249652755918,18.0,0.10526315789473684,0.8244515030374763,15.0,0.26315789473684215,0.28528888438171274,4.5,0.8157894736842105,0.12,0.29342105263157897,16,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A12_graph_pointer_policy_diverse_02,,J2D_N16_N16_A12_graph_pointer_policy_diverse_02,N16_A12,graph_pointer_proxy,,nan,nan,nan,nan,,"[9,5,10,4,11,3,12,2,13,1,14,0,15,7,8,6]",0.00023973382963049517,0.16137175261974335,581517248.0,581.517248,579946816.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.31,17.0,0.1578947368421053,0.8311242678170869,10.0,0.5263157894736843,0.40396236669524993,6.0,0.736842105263158,0.08896551088329384,2.5,0.9210526315789473,0.04,0.3276315789473685,14,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,,J2D_N16_N16_A13_graph_pointer_policy_anti_odd_even_novelty,N16_A13,graph_pointer_proxy,,nan,nan,nan,nan,,"[1,14,3,12,5,10,7,8,9,6,11,4,13,2,15,0]",0.00011749031591534731,0.15198101103305817,581337280.0,581.33728,579948288.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.8071428571428572,9.0,0.5789473684210527,0.3065011519871561,6.0,0.736842105263158,0.0995132791458834,3.0,0.8947368421052632,0.06304105320414127,16.5,0.1842105263157895,0.96,0.6223684210526316,7,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A14_graph_pointer_policy_u2first_proxy,,J2D_N16_N16_A14_graph_pointer_policy_u2first_proxy,N16_A14,graph_pointer_proxy,,nan,nan,nan,nan,,"[0,7,2,8,4,6,9,5,10,12,14,11,1,3,13,15]",0.00015728273911008728,0.1641508787870407,582433856.0,582.433856,579947264.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.5999999999999999,11.0,0.4736842105263158,0.4772752438665262,12.0,0.42105263157894735,0.49406200557977753,13.0,0.368421052631579,0.22100323594759794,7.0,0.6842105263157895,0.32,0.4631578947368421,12,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,,J2D_N16_N16_A15_graph_pointer_policy_balanced_dispersion_proxy,N16_A15,graph_pointer_proxy,,nan,nan,nan,nan,,"[0,7,15,8,6,11,9,3,5,10,4,13,1,2,12,14]",0.0001736121434987581,0.16458375751972198,582198912.0,582.198912,579947904.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.4928571428571429,13.0,0.368421052631579,0.5473548967632333,13.0,0.368421052631579,0.5080959914974819,12.0,0.42105263157894735,0.18715946491624336,10.0,0.5263157894736843,0.72,0.38157894736842113,13,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,24,N24_A01_raster_left_to_right,,J2D_N24_N24_A01_raster_left_to_right,N24_A01,raster,,nan,nan,nan,nan,,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",0.0005523721708868834,0.18925029039382935,587159872.0,587.159872,579944256.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.1392857142857143,17.0,0.1578947368421053,0.8698657356733678,20.0,0.0,1.0,17.0,0.1578947368421053,0.6344433535155185,11.5,0.4473684210526315,0.71875,0.14078947368421058,19,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,24,N24_A02_odd_even_interlaced,,J2D_N24_N24_A02_odd_even_interlaced,N24_A02,odd_even,,nan,nan,nan,nan,,"[0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,19,21,23]",8.360300034837564e-05,0.15498611330986023,586226112.0,586.226112,579943936.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.8257142857142858,5.0,0.7894736842105263,0.0480222335686336,5.0,0.7894736842105263,0.03671164104173204,15.0,0.26315789473684215,0.5349642720776742,7.0,0.6842105263157895,0.5625,0.7315789473684211,6,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,24,N24_A03_greedy_maximin_distance,,J2D_N24_N24_A03_greedy_maximin_distance,N24_A03,maximin,,nan,nan,nan,nan,,"[0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22]",0.0002935029126547306,0.16460579633712769,584637632.0,584.637632,579944576.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.5142857142857142,12.0,0.42105263157894735,0.4160175921865287,14.0,0.3157894736842105,0.3071552782645452,12.0,0.42105263157894735,0.36573392243495334,14.5,0.2894736842105263,0.875,0.393421052631579,13,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,24,N24_A04_method_c_u2_first_engineering,,J2D_N24_N24_A04_method_c_u2_first_engineering,N24_A04,method_c,,nan,nan,nan,nan,,"[0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23]",5.621172385872342e-05,0.15437763929367065,581727232.0,581.727232,579944640.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.9785714285714286,1.0,1.0,0.0,3.0,0.8947368421052632,0.01960526387447671,3.0,0.8947368421052632,0.05567146675394098,17.0,0.1578947368421053,0.90625,0.9263157894736843,1,True,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,24,N24_A05_center_out,,J2D_N24_N24_A05_center_out,N24_A05,center_out,,nan,nan,nan,nan,,"[11,12,10,13,9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23]",0.0006265991143266092,0.17296180129051208,588072192.0,588.072192,579944128.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.04357142857142858,20.0,0.0,1.0,17.0,0.1578947368421053,0.5420724128353546,18.0,0.10526315789473684,0.7316383025145912,9.5,0.5526315789473684,0.65625,0.06973684210526317,20,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,24,N24_A06_edge_in_alternating,,J2D_N24_N24_A06_edge_in_alternating,N24_A06,edge_in,,nan,nan,nan,nan,,"[0,23,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12]",0.000525546938433763,0.18484757840633392,590591168.0,590.591168,579942784.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.22428571428571425,15.0,0.26315789473684215,0.8228358873607748,19.0,0.052631578947368474,0.8762240460348135,20.0,0.0,1.0,1.0,1.0,0.0,0.2315789473684211,17,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,24,N24_A07_regular_jump_coprime,,J2D_N24_N24_A07_regular_jump_coprime,N24_A07,regular_jump,,nan,nan,nan,nan,,"[0,11,22,9,20,7,18,5,16,3,14,1,12,23,10,21,8,19,6,17,4,15,2,13]",0.00023713416885584593,0.1627264767885208,583243392.0,583.243392,579943104.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.6285714285714284,10.0,0.5263157894736843,0.31719222412808384,11.0,0.4736842105263158,0.25432089559429305,9.0,0.5789473684210527,0.21719713085692466,2.0,0.9473684210526316,0.15625,0.5421052631578949,9,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
