n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_seed,rollout_seed,ppo_generation_mode,predicted_reward,mean_pred_reward,std_pred_reward,conservative_reward,duplicate_vs_combined552_plus_v01_training,duplicate_vs_stageK_N40_selected,minimum_hamming_to_training_reference,minimum_hamming_to_stageK_N40,candidate_source,teacher_validated,abaqus_validated,mean_abs_jump,max_abs_jump,adjacent_fraction,parity_switch_fraction,early_center_bias,early_edge_bias,early_spread_proxy
40,"[37,35,29,20,24,26,30,25,23,17,19,13,9,11,5,7,1,3,2,0,4,8,6,10,14,18,16,12,15,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,20,24,26,30,25,23,17,19,13,9,11,5,7,1,3,2,0,4,8,6,10,14,18,16,12,15,21,22,28,34,38,36,32,27,31,33,39",7fe52bd099738955,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521271,stochastic,0.49184471830985915,0.6311169117805087,0.09320596070660776,0.5845139314272048,False,False,35,34,PPO_v02K2_checkpoint_inference,False,False,3.8461538461538463,9.0,0.05128205128205128,0.15384615384615385,0.38974358974358975,0.6102564102564102,0.5128205128205128
40,"[37,35,29,24,30,20,26,25,23,19,17,13,11,9,7,5,1,3,0,6,4,2,10,8,14,16,18,12,15,21,22,28,32,38,36,34,31,27,33,39]","37,35,29,24,30,20,26,25,23,19,17,13,11,9,7,5,1,3,0,6,4,2,10,8,14,16,18,12,15,21,22,28,32,38,36,34,31,27,33,39",c01112031fb8bf3b,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521272,stochastic,0.5113970363849764,0.6299131845333976,0.06882167217866483,0.5955023484440652,False,False,32,33,PPO_v02K2_checkpoint_inference,False,False,3.8461538461538463,10.0,0.05128205128205128,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,24,30,20,26,25,19,23,17,13,11,9,7,1,5,3,6,0,2,4,10,8,12,14,16,18,15,21,22,28,38,36,34,32,27,31,33,39]","37,35,29,24,30,20,26,25,19,23,17,13,11,9,7,1,5,3,6,0,2,4,10,8,12,14,16,18,15,21,22,28,38,36,34,32,27,31,33,39",34d90f661337a62b,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521273,stochastic,0.5008788634585291,0.6169181332386536,0.06793407529641074,0.5829510955904482,False,False,34,33,PPO_v02K2_checkpoint_inference,False,False,3.948717948717949,10.0,0.05128205128205128,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,24,20,26,30,25,23,19,17,13,11,9,7,5,1,3,0,2,4,6,8,10,12,14,16,18,15,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,24,20,26,30,25,23,19,17,13,11,9,7,5,1,3,0,2,4,6,8,10,12,14,16,18,15,21,22,28,34,38,36,32,27,31,33,39",311d3c90a51d23b9,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521274,stochastic,0.5556305262128327,0.6349385454387818,0.05116245007181057,0.6093573204028765,False,False,35,32,PPO_v02K2_checkpoint_inference,False,False,3.282051282051282,6.0,0.02564102564102564,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,24,20,23,30,26,25,19,17,13,11,9,5,1,3,7,0,2,4,10,8,6,14,18,12,16,15,21,22,28,34,38,36,32,31,27,33,39]","37,35,29,24,20,23,30,26,25,19,17,13,11,9,5,1,3,7,0,2,4,10,8,6,14,18,12,16,15,21,22,28,34,38,36,32,31,27,33,39",e7436cf94307349a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521275,stochastic,0.4844840277777777,0.5922519646440231,0.06401292020225116,0.5602455045428975,False,False,34,34,PPO_v02K2_checkpoint_inference,False,False,3.8974358974358974,8.0,0.10256410256410256,0.20512820512820512,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,20,24,30,26,25,23,17,19,13,11,9,5,3,1,7,2,4,0,10,6,8,12,18,16,14,15,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,20,24,30,26,25,23,17,19,13,11,9,5,3,1,7,2,4,0,10,6,8,12,18,16,14,15,21,22,28,34,38,36,32,27,31,33,39",c8778d0969ad148f,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521276,stochastic,0.5039727503912362,0.6126090728611961,0.06528440573690598,0.5799668699927432,False,False,34,33,PPO_v02K2_checkpoint_inference,False,False,3.948717948717949,10.0,0.07692307692307693,0.15384615384615385,0.38974358974358975,0.6102564102564102,0.5128205128205128
40,"[37,35,29,20,30,24,26,25,23,19,17,13,11,9,7,5,1,3,4,0,2,8,10,6,14,16,18,12,15,21,22,28,32,38,36,34,33,27,31,39]","37,35,29,20,30,24,26,25,23,19,17,13,11,9,7,5,1,3,4,0,2,8,10,6,14,16,18,12,15,21,22,28,32,38,36,34,33,27,31,39",19a2c17ba957ae1e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521277,stochastic,0.5149105927230047,0.6270996878548775,0.06601583380877342,0.5940917709504907,False,False,31,33,PPO_v02K2_checkpoint_inference,False,False,3.7948717948717947,10.0,0.10256410256410256,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,24,26,20,30,25,23,19,17,13,11,9,7,5,1,3,4,0,2,8,6,10,12,18,15,14,16,21,22,28,38,36,34,32,27,31,33,39]","37,35,29,24,26,20,30,25,23,19,17,13,11,9,7,5,1,3,4,0,2,8,6,10,12,18,15,14,16,21,22,28,38,36,34,32,27,31,33,39",112d36dc00a76af2,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521278,stochastic,0.4873210387323943,0.6103435578133978,0.08007019936549711,0.5703084581306492,False,False,35,32,PPO_v02K2_checkpoint_inference,False,False,3.58974358974359,10.0,0.07692307692307693,0.20512820512820512,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,29,35,24,30,20,26,25,23,19,17,11,13,9,7,5,3,1,0,2,4,10,8,6,12,16,18,14,15,21,22,28,38,36,34,32,27,31,33,39]","37,29,35,24,30,20,26,25,23,19,17,11,13,9,7,5,3,1,0,2,4,10,8,6,12,16,18,14,15,21,22,28,38,36,34,32,27,31,33,39",06a2d225d939ce44,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521279,stochastic,0.5060404342723004,0.5876571938421518,0.049297137614164224,0.5630086250350697,False,False,34,34,PPO_v02K2_checkpoint_inference,False,False,3.948717948717949,11.0,0.10256410256410256,0.15384615384615385,0.3794871794871794,0.6205128205128205,0.46153846153846156
40,"[37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,6,4,0,2,8,10,14,18,16,12,15,21,22,28,32,38,36,34,27,31,33,39]","37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,6,4,0,2,8,10,14,18,16,12,15,21,22,28,32,38,36,34,27,31,33,39",1b006b39a9616ce4,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521280,stochastic,0.5515470559467919,0.6428432688421621,0.053586979062262105,0.6160497793110311,False,False,33,33,PPO_v02K2_checkpoint_inference,False,False,3.58974358974359,10.0,0.05128205128205128,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
