N_label,scope,strategy_id,U2,PEEQ,SurfaceT,Mises,include_in_u2_panel,include_in_peeq_panel,include_in_surfacet_panel,include_in_mises_panel,stress_semantics_note,U2_within_N_minmax_cost,PEEQ_within_N_minmax_cost,SurfaceT_within_N_minmax_cost,Mises_within_N_minmax_cost
N16,native_stage3_combined552,N16_A02_odd_even_interlaced,4.9715717977960594e-05,0.1537079364061355,585.719808,579.94752,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08187768421374651,0.23317415671191305,0.6948999687114545,0.4000000000473695
N16,native_stage3_combined552,N16_A03_greedy_maximin_distance,4.607185064742225e-05,0.1532730907201767,582.92736,579.94816,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.06729189595979172,0.22037305759485804,0.2933760329818034,0.7333333333609655
N16,native_stage3_combined552,N16_A04_method_c_u2_first_engineering,5.043179316999158e-05,0.1518275737762451,581.727104,579.948352,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08474401280846264,0.17781955810721708,0.12079215209910527,0.833333333343202
N16,native_stage3_combined552,N16_A05_center_out,0.0002790839121189,0.1664191931486129,582.18208,579.946816,True,True,True,True,native Stage 3 MPa-scale stress definitions,1.0,0.6073714011987797,0.18621279885153683,0.03333333336688674
N16,native_stage3_combined552,N16_A06_edge_in_alternating,0.0002053208902452,0.1797565519809723,581.764096,579.947776,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.7047390257584728,1.0,0.12611120313621965,0.5333333333372808
N16,native_stage3_combined552,N16_A07_regular_jump_coprime,0.0002763091160886,0.1653308719396591,581.433216,579.946752,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.9888929580375555,0.5753331216047388,0.07853422413635204,0.0
N16,native_stage3_combined552,N16_A08_block_interleaved_quarters,0.0001606882035503,0.1505546271800995,582.573376,579.94816,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.5260818853403725,0.14034622889147938,0.24247694771134673,0.7333333333609655
N16,native_stage3_combined552,N16_A09_center_edge_alternating,0.0002147317868548,0.1743032783269882,580.899648,579.946944,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.7424092625635014,0.8394651279495776,0.001812894557635327,0.10000000004144832
N16,native_stage3_combined552,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.0001204781697197,0.1701684147119522,581.290304,579.948096,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.3651278807249405,0.71774194963433,0.05798501831300023,0.6999999999940788
N16,native_stage3_combined552,N16_A11_graph_pointer_policy_diverse_01,0.0001829955551784,0.1743417531251907,582.880128,579.946944,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.6153744632087085,0.8405977589522587,0.2865845802735035,0.10000000004144832
N16,native_stage3_combined552,N16_A12_graph_pointer_policy_diverse_02,0.0002397338296304,0.1613717526197433,581.517248,579.946816,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.842488236017056,0.45878354903914914,0.09061712035043612,0.03333333336688674
N16,native_stage3_combined552,N16_A13_graph_pointer_policy_anti_odd_even_novelty,0.0001174903159153,0.1519810110330581,581.33728,579.948288,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.35316800431574286,0.1823364835272811,0.06473966097951561,0.8000000000355272
N16,native_stage3_combined552,N16_A14_graph_pointer_policy_u2first_proxy,0.00015728273911,0.1641508787870407,582.433856,579.947264,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.5124503837716121,0.5405961797610866,0.22241547494156655,0.26666666669824635
N16,native_stage3_combined552,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,0.0001736121434987,0.1645837575197219,582.198912,579.947904,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.5778142439568263,0.5533393752017838,0.18863305909851902,0.6000000000118424
N16,native_stage3_combined552,S3B20_N16_B01_surrogate_top,5.233794854575535e-05,0.1504488587379455,581.67232,579.948352,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.09237403228173487,0.13723259029464174,0.11291480315830847,0.833333333343202
N16,native_stage3_combined552,S3B20_N16_B02_diversity_top,7.41247381483845e-05,0.163513496518135,581.958912,579.9472,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.17958288788802948,0.5218327566361106,0.15412364493034938,0.2333333333313596
N16,native_stage3_combined552,S3B20_N16_B03_method_c_inspired,6.606194119740394e-05,0.1556378453969955,582.99136,579.948032,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.14730886735055285,0.28998731383090676,0.30257854342664753,0.666666666686404
N16,native_stage3_combined552,S3B20_N16_B04_surrogate_top,4.716870898846537e-05,0.1489115208387375,581.447424,579.948288,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.0716824354761345,0.09197604191524454,0.08057718145509989,0.8000000000355272
N16,native_stage3_combined552,S3B20_N16_B05_surrogate_top,4.960947671861504e-05,0.1505033075809478,585.404352,579.948288,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08145241831570989,0.1388354693356157,0.6495407947288032,0.8000000000355272
N16,native_stage3_combined552,S3R19B28_N16_B01_surrogate_top,5.09631609020289e-05,0.1490653306245803,581.331328,579.948288,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08687098849704666,0.09650393394067759,0.0638838275081476,0.8000000000355272
N16,native_stage3_combined552,S3R19B28_N16_B02_u2_primary_top,4.36779828305589e-05,0.1526079922914505,581.782208,579.948352,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.05770964558747441,0.20079371903030774,0.12871551359210823,0.833333333343202
N16,native_stage3_combined552,S3R19B28_N16_B03_geometry_signal_top,0.0001079042317542,0.1605472415685653,584.084224,579.948032,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.31479652119763013,0.4345113807043887,0.45972061178288803,0.666666666686404
N16,native_stage3_combined552,S3R19B28_N16_B04_method_c_inspired,4.279385166228167e-05,0.1526066660881042,585.915328,579.948288,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.054170617176330774,0.20075467791518659,0.7230136381204836,0.8000000000355272
N16,native_stage3_combined552,S3R24L64_N16_B01_top_region,5.932159001531545e-05,0.1564416885375976,585.075776,579.948416,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.12032837487342639,0.3136510548997033,0.6022951061049474,0.8666666666508769
N16,native_stage3_combined552,S3R24L64_N16_B02_top_region,4.0733349123911466e-05,0.1522163301706314,581.438784,579.948416,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.04592277196266764,0.18926386880781726,0.07933484254505958,0.8666666666508769
N16,native_stage3_combined552,S3R24L64_N16_B03_model_disagreement,7.121505268514738e-05,0.1496467143297195,581.315072,579.948224,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.16793590620548926,0.11361885694633539,0.061546389855156106,0.7666666666686404
N16,native_stage3_combined552,S3R24L64_N16_B04_uncertainty_calibration,4.950354787069955e-05,0.1512989699840545,584.900928,579.948288,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08102840294809976,0.1622583837504735,0.5771538475696197,0.8000000000355272
N16,native_stage3_combined552,S3R24L64_N16_B05_diversity_coverage,8.254494787252042e-05,0.1568326950073242,583.419776,579.948288,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.2132875716620112,0.32516160389674226,0.3641801483444641,0.8000000000355272
