n,strategy_name,order_hash,order_compact,dataset_source,candidate_source,ppo_checkpoint,ppo_seed,predicted_reward,conservative_reward,teacher_metrics_extracted,teacher_validation_status,stageM_metric_source_file,u2_range,peeq_max,surface_t_proxy,mises_max,ppo_generation_mode,selection_tag,selected_by,final_step_name,final_frame_time,extracted_field_names,completion_status,odb_extraction_status,is_ppo_v01,is_ppo_v02K2
40,S3R19B28_N40_B08_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0002107644334046,0.1547115296125412,585281536.0,579926016.0,,,,,,,,,False,False
40,S3R19B28_N40_B09_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001639029087527,0.1643984466791153,587828288.0,579925824.0,,,,,,,,,False,False
40,S3R19B28_N40_B10_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001504687188571,0.1597595065832138,584999872.0,579926208.0,,,,,,,,,False,False
24,S3R24L64_N24_B01_top_region,d5d7a577aae2fbbb,0-2-4-6-8-22-20-18-16-14-12-10-11-9-7-5-3-1-13-15-17-23-21-19,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.369223112618783e-05,0.1567591875791549,581899200.0,579943680.0,,,,,,,,,False,False
24,S3R24L64_N24_B02_top_region,dfa42d2d41100d6a,0-2-4-6-8-10-12-22-20-18-16-14-1-3-5-7-23-21-19-17-15-13-11-9,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.462275673082331e-05,0.1625818163156509,586835584.0,579944448.0,,,,,,,,,False,False
24,S3R24L64_N24_B03_top_region,61876ec3bbab3171,2-0-4-6-8-10-12-14-16-18-20-22-11-9-7-5-3-1-13-15-17-19-21-23,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,6.807913905504392e-05,0.1543546617031097,581713792.0,579944640.0,,,,,,,,,False,False
24,S3R24L64_N24_B04_top_region,ddb347cb94c3ba51,0-2-4-6-8-10-12-14-16-18-20-22-23-21-19-3-5-7-9-11-17-15-13-1,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.125130443659145e-05,0.1610715538263321,583307264.0,579944448.0,,,,,,,,,False,False
24,S3R24L64_N24_B05_top_region,30f88e82766f163e,0-2-4-6-8-10-12-18-20-22-16-14-1-3-5-7-9-11-13-15-17-19-21-23,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,6.770852269255556e-05,0.1572423726320266,586670400.0,579943872.0,,,,,,,,,False,False
24,S3R24L64_N24_B06_model_disagreement,5e8f606e284ef168,11-21-7-17-9-13-23-3-19-5-15-1-0-2-4-6-8-10-12-14-16-18-20-22,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.061707694650977e-05,0.1534445732831955,580875968.0,579944640.0,,,,,,,,,False,False
24,S3R24L64_N24_B07_model_disagreement,c892039c42dfb0f4,11-5-7-17-3-13-23-9-19-21-15-1-0-2-4-6-8-10-12-14-16-18-20-22,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.37363538974023e-05,0.1538069397211074,581218368.0,579944576.0,,,,,,,,,False,False
24,S3R24L64_N24_B08_model_disagreement,7045906b4126d893,11-21-7-17-3-13-5-9-19-23-15-1-0-2-4-6-8-10-12-14-16-18-20-22,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.019874189812981e-05,0.1531224399805069,581032512.0,579944640.0,,,,,,,,,False,False
24,S3R24L64_N24_B09_model_disagreement,245a8b26b41f99ed,11-21-7-17-3-13-23-9-19-5-15-1-0-2-4-6-8-10-12-22-20-18-16-14,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,6.930613835720578e-05,0.1627024710178375,587378304.0,579943680.0,,,,,,,,,False,False
24,S3R24L64_N24_B10_uncertainty_calibration,1ee1ce45fe1ba3e6,0-2-4-6-8-10-13-14-16-18-20-22-11-9-7-5-3-1-12-15-17-19-21-23,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.942568845464848e-05,0.1542500406503677,581681088.0,579944640.0,,,,,,,,,False,False
24,S3R24L64_N24_B11_uncertainty_calibration,e54c35986492c68a,11-21-7-17-3-13-23-9-19-5-15-1-0-2-20-6-8-10-12-14-16-18-4-22,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001170783098132,0.1543570160865783,581163200.0,579943360.0,,,,,,,,,False,False
24,S3R24L64_N24_B12_uncertainty_calibration,97c3cadc95217af2,11-21-7-17-3-13-23-9-19-5-15-1-0-18-4-6-8-10-12-14-16-2-20-22,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.00011106191414,0.1553478837013244,581244224.0,579943488.0,,,,,,,,,False,False
24,S3R24L64_N24_B13_uncertainty_calibration,429442f9a7ee440f,0-2-4-6-8-10-12-14-16-18-19-22-11-9-7-5-3-1-13-15-17-20-21-23,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.370208913926035e-05,0.1641812026500702,581645440.0,579944640.0,,,,,,,,,False,False
24,S3R24L64_N24_B14_diversity_coverage,fdb98a247a7f0f60,12-14-16-18-3-13-23-9-19-5-15-1-0-2-4-6-8-10-11-21-7-17-20-22,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0002087160146402,0.1766754388809204,581457152.0,579944384.0,,,,,,,,,False,False
24,S3R24L64_N24_B15_diversity_coverage,61435e6dddaa6fd2,0-2-4-15-17-19-21-14-16-18-20-22-11-9-7-5-3-1-13-6-8-10-12-23,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.884969702194212e-05,0.1608411371707916,583299520.0,579944384.0,,,,,,,,,False,False
24,S3R24L64_N24_B16_diversity_coverage,01f2cb7f75d2ba0f,0-2-15-17-19-21-12-14-16-18-20-22-11-9-7-5-3-1-13-4-6-8-10-23,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.727337626623921e-05,0.1625741869211197,583067200.0,579944704.0,,,,,,,,,False,False
24,S3R24L64_N24_B17_diversity_coverage,6644531cea779794,0-2-17-15-13-1-12-14-16-18-20-22-11-9-7-5-3-19-21-23-4-6-8-10,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001864545752141,0.1623059958219528,584355136.0,579943296.0,,,,,,,,,False,False
24,S3R24L64_N24_B18_tradeoff_probe,5847234d7bb5fec7,17-4-15-6-1-18-23-14-5-22-3-2-11-16-13-8-21-10-7-12-9-20-19-0,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0002899126045576,0.1693079322576522,583853568.0,579943168.0,,,,,,,,,False,False
24,S3R24L64_N24_B19_tradeoff_probe,8347904d193448a1,17-19-21-23-8-10-12-22-20-18-16-14-7-5-3-1-9-11-13-15-0-2-4-6,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,5.976830379950116e-05,0.1647088974714279,585381696.0,579944000.0,,,,,,,,,False,False
24,S3R24L64_N24_B20_tradeoff_probe,82d8cc4867e4c247,17-19-21-23-8-10-12-22-20-18-16-14-3-1-5-7-9-11-13-15-0-2-4-6,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,5.346994021238061e-05,0.1653908491134643,585390080.0,579944832.0,,,,,,,,,False,False
24,S3R24L64_N24_B21_sentinel_control,2b407e089be11262,18-13-14-21-12-5-10-15-2-23-16-1-6-3-4-11-22-19-0-7-20-17-8-9,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0004048996659093,0.1666337102651596,584805888.0,579944128.0,,,,,,,,,False,False
24,S3R24L64_N24_B22_sentinel_control,0c3c572ce8b1aad9,21-7-16-0-14-4-19-5-12-20-8-15-23-10-3-11-1-2-6-17-13-22-18-9,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.000283742554302,0.1525747328996658,582417280.0,579944000.0,,,,,,,,,False,False
24,S3R24L64_N24_B23_exploitation_reference,9682d973aa5c8db4,0-2-4-6-8-10-12-14-16-18-20-22-11-1-3-5-7-9-13-15-17-19-21-23,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,5.36375810042955e-05,0.1543297171592712,586287680.0,579944640.0,,,,,,,,,False,False
24,S3R24L64_N24_B24_exploitation_reference,88e73e9ad94ac53f,0-2-4-6-8-10-12-14-16-18-20-22-11-9-1-3-5-7-13-15-17-19-21-23,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.06063701727544e-05,0.1538756042718887,586210112.0,579944640.0,,,,,,,,,False,False
40,S3R24L64_N40_B01_top_region,cc574ee97e23d3a0,0-2-4-6-8-10-12-38-36-34-32-30-28-26-24-22-20-18-16-14-19-17-15-13-11-9-7-5-3-1-21-23-25-27-29-31-33-35-37-39,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001945985031852,0.162837952375412,581591424.0,579927552.0,,,,,,,,,False,False
