n,order_json,order_compact,order_hash,ppo_v02_checkpoint,ppo_seed,rollout_seed,ppo_generation_mode,predicted_reward,mean_pred_reward,std_pred_reward,conservative_reward,duplicate_vs_training_reference,minimum_hamming_distance_to_training_reference,mean_hamming_distance_to_training_reference,candidate_source,teacher_validated,abaqus_validated,mean_abs_jump,max_abs_jump,adjacent_fraction,parity_switch_fraction,early_center_bias,early_edge_bias,early_spread_proxy
24,"[21,17,3,7,9,13,5,11,1,15,19,23,18,0,2,8,4,20,22,12,10,6,14,16]","21,17,3,7,9,13,5,11,1,15,19,23,18,0,2,8,4,20,22,12,10,6,14,16",91147514a9bf8748,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660643,stochastic,0.6013084141496355,0.5935060858433947,0.031708532916900026,0.5776518193849447,False,15,21.358585858585858,PPO_v02_checkpoint_inference,False,False,6.6521739130434785,18.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,5,11,1,15,19,0,23,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,5,11,1,15,19,0,23,2,18,20,22,4,8,10,12,14,6,16",c76a8abe7aa8de30,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660644,stochastic,0.6059445384219532,0.6111094214157867,0.016818272598320902,0.6027002851166263,False,17,21.994949494949495,PPO_v02_checkpoint_inference,False,False,8.652173913043478,23.0,0.0,0.13043478260869565,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,1,5,11,15,23,19,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,1,5,11,15,23,19,0,2,18,20,22,4,8,10,12,14,6,16",828abe4bb02aecc4,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660645,stochastic,0.6602470033861496,0.6451324582853326,0.03102540279054712,0.629619756890059,False,16,22.843434343434343,PPO_v02_checkpoint_inference,False,False,6.6521739130434785,19.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,3,17,7,9,13,5,1,15,11,23,19,20,0,2,18,22,4,8,10,12,14,16,6]","21,3,17,7,9,13,5,1,15,11,23,19,20,0,2,18,22,4,8,10,12,14,16,6",f2d043fdbf9c8fc7,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660646,stochastic,0.6554263196367985,0.6430999524755883,0.02293406501068651,0.6316329199702451,False,17,21.91919191919192,PPO_v02_checkpoint_inference,False,False,7.695652173913044,20.0,0.043478260869565216,0.043478260869565216,0.463768115942029,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,5,11,1,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,5,11,1,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",3937799ddc3874ab,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660647,stochastic,0.6618605894466809,0.6469772290753367,0.025316751080881172,0.6343188535348961,False,18,22.2979797979798,PPO_v02_checkpoint_inference,False,False,7.173913043478261,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,7,3,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,7,3,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",d8c8080ed994dc75,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660648,stochastic,0.6549937951091864,0.6518382143988186,0.026124819769654153,0.6387758045139915,False,19,22.42929292929293,PPO_v02_checkpoint_inference,False,False,6.6521739130434785,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,7,3,9,13,5,1,11,15,23,19,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,7,3,9,13,5,1,11,15,23,19,0,2,18,20,22,4,8,10,12,14,6,16",c24bc45fe2056c79,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660649,stochastic,0.6584063149708338,0.651653149881363,0.025152721399644785,0.6390767891815406,False,18,22.595959595959595,PPO_v02_checkpoint_inference,False,False,6.6521739130434785,19.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,7,17,3,13,9,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6]","21,7,17,3,13,9,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6",f095ac6774152b2e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660650,stochastic,0.6549937951091864,0.64479703359305,0.021715744155737602,0.6339391615151811,False,18,22.81313131313131,PPO_v02_checkpoint_inference,False,False,7.260869565217392,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,5,11,1,15,19,23,0,2,18,20,22,8,10,4,6,12,14,16]","21,17,3,7,9,13,5,11,1,15,19,23,0,2,18,20,22,8,10,4,6,12,14,16",87a31335378315f3,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660651,stochastic,0.6718998720531828,0.6427505082817228,0.02889570182215631,0.6283026573706446,False,16,21.696969696969695,PPO_v02_checkpoint_inference,False,False,6.6521739130434785,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,5,1,15,11,19,23,0,2,18,20,4,22,8,10,12,14,6,16]","21,17,3,7,9,13,5,1,15,11,19,23,0,2,18,20,4,22,8,10,12,14,6,16",add0f504dd7450f9,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660652,stochastic,0.6554263196367985,0.6444113805314956,0.02263752614093027,0.6330926174610305,False,18,22.196969696969695,PPO_v02_checkpoint_inference,False,False,8.043478260869565,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
