n,strategy_name,mean_jump_norm,median_jump_norm,max_jump_norm,min_jump_norm,std_jump_norm,count_jump_1,count_jump_le_2,count_jump_ge_0_25N,count_jump_ge_0_50N,edge_mean_step_norm,center_mean_step_norm,edge_before_center_score,left_right_mean_abs_imbalance,left_right_max_abs_imbalance,dispersion_score_norm,adjacent_transition_count,repeated_neighbor_transition_rate
24,N24_A09_center_edge_alternating,0.3950850661625709,0.4782608695652174,0.5652173913043478,0.043478260869565216,0.17714995418426618,2,2,17,11,0.2608695652173913,0.043478260869565216,-0.21739130434782608,1.0,2,0.36231884057971014,2,0.08695652173913043
24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.38374291115311904,0.30434782608695654,1.0,0.043478260869565216,0.29811389620725015,1,6,12,8,0.41304347826086957,0.30434782608695654,-0.10869565217391303,2.6666666666666665,6,0.36231884057971014,1,0.043478260869565216
24,N24_A11_graph_pointer_policy_diverse_01,0.3799621928166352,0.34782608695652173,0.9130434782608695,0.043478260869565216,0.23993416787870903,1,5,15,7,0.18115942028985507,0.391304347826087,0.2101449275362319,1.4166666666666667,3,0.36231884057971014,1,0.043478260869565216
24,N24_A12_graph_pointer_policy_diverse_02,0.5368620037807184,0.5217391304347826,1.0,0.043478260869565216,0.27872382791026923,1,2,19,13,0.717391304347826,0.8913043478260869,0.17391304347826086,0.5,1,0.36231884057971014,1,0.043478260869565216
24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,0.500945179584121,0.4782608695652174,1.0,0.043478260869565216,0.28921877503070365,2,2,17,11,0.6304347826086957,0.45652173913043476,-0.17391304347826092,0.5,1,0.36231884057971014,2,0.08695652173913043
24,N24_A14_graph_pointer_policy_u2first_proxy,0.2627599243856333,0.21739130434782608,0.6956521739130435,0.043478260869565216,0.1933718238570045,3,8,10,2,0.5869565217391305,0.08695652173913043,-0.5,2.75,6,0.36231884057971014,3,0.13043478260869565
24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,0.28733459357277885,0.2608695652173913,0.6521739130434783,0.043478260869565216,0.19601484153974624,3,6,12,5,0.5434782608695652,0.08695652173913043,-0.45652173913043476,1.25,4,0.36231884057971014,3,0.13043478260869565
40,N40_A01_raster_left_to_right,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,39,39,0,0,0.5,0.5,0.0,10.0,20,0.3504273504273504,39,1.0
40,N40_A02_odd_even_interlaced,0.07429322813938198,0.05128205128205128,0.9487179487179487,0.05128205128205128,0.14185042084412502,0,38,1,1,0.5,0.5,0.0,5.0,10,0.3504273504273504,0,0.0
40,N40_A03_greedy_maximin_distance,0.16568047337278108,0.05128205128205128,1.0,0.02564102564102564,0.2386940927245334,7,23,8,5,0.4423076923076923,0.38461538461538464,-0.057692307692307654,4.35,12,0.3504273504273504,7,0.1794871794871795
40,N40_A04_method_c_u2_first_engineering,0.07429322813938198,0.05128205128205128,0.5128205128205128,0.05128205128205128,0.09901738644884472,0,37,2,1,0.5512820512820513,0.38461538461538464,-0.16666666666666669,5.0,10,0.3504273504273504,0,0.0
40,N40_A05_center_out,0.5128205128205128,0.5128205128205128,1.0,0.02564102564102564,0.28858022249801935,1,2,30,20,0.9102564102564102,0.01282051282051282,-0.8974358974358975,0.5,1,0.3504273504273504,1,0.02564102564102564
40,N40_A06_edge_in_alternating,0.5128205128205128,0.5128205128205128,1.0,0.02564102564102564,0.28858022249801935,1,2,30,20,0.08974358974358974,0.9871794871794872,0.8974358974358975,0.5,1,0.3504273504273504,1,0.02564102564102564
40,N40_A07_regular_jump_coprime,0.4437869822485207,0.3333333333333333,0.6923076923076923,0.3333333333333333,0.16568047337278108,0,0,39,12,0.4230769230769231,0.5512820512820513,0.12820512820512825,2.3,6,0.3504273504273504,0,0.0
