n,strategy_a,strategy_b,directed_adjacent_pair_overlap,undirected_adjacent_pair_overlap,kendall_tau_normalized_distance,spearman_rank_distance,jump_profile_distance
12,N12_A08_block_interleaved_quarters,N12_A12_graph_pointer_policy_diverse_02,0.18181818181818182,0.18181818181818182,0.48484848484848486,0.479020979020979,0.2892561983471075
12,N12_A08_block_interleaved_quarters,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.0,0.18181818181818182,0.5,0.5034965034965035,0.34710743801652894
12,N12_A08_block_interleaved_quarters,N12_A14_graph_pointer_policy_u2first_proxy,0.09090909090909091,0.2727272727272727,0.4393939393939394,0.4020979020979021,0.21487603305785125
12,N12_A08_block_interleaved_quarters,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.0,0.09090909090909091,0.5303030303030303,0.5454545454545454,0.2727272727272727
12,N12_A09_center_edge_alternating,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.2202797202797203,0.2892561983471074
12,N12_A09_center_edge_alternating,N12_A11_graph_pointer_policy_diverse_01,0.0,0.18181818181818182,0.3181818181818182,0.2937062937062937,0.15702479338842973
12,N12_A09_center_edge_alternating,N12_A12_graph_pointer_policy_diverse_02,0.0,0.09090909090909091,0.6818181818181818,0.7937062937062938,0.2479338842975207
12,N12_A09_center_edge_alternating,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.5909090909090909,0.3057851239669422
12,N12_A09_center_edge_alternating,N12_A14_graph_pointer_policy_u2first_proxy,0.0,0.18181818181818182,0.3333333333333333,0.26573426573426573,0.2231404958677686
12,N12_A09_center_edge_alternating,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.0,0.2727272727272727,0.21212121212121213,0.11538461538461539,0.18181818181818182
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12_A11_graph_pointer_policy_diverse_01,0.0,0.09090909090909091,0.3181818181818182,0.23776223776223776,0.2809917355371901
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12_A12_graph_pointer_policy_diverse_02,0.18181818181818182,0.2727272727272727,0.6212121212121212,0.6888111888111889,0.33884297520661155
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.18181818181818182,0.36363636363636365,0.696969696969697,0.7657342657342657,0.2644628099173554
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12_A14_graph_pointer_policy_u2first_proxy,0.0,0.2727272727272727,0.30303030303030304,0.25874125874125875,0.19834710743801656
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.09090909090909091,0.09090909090909091,0.21212121212121213,0.12237762237762238,0.25619834710743805
12,N12_A11_graph_pointer_policy_diverse_01,N12_A12_graph_pointer_policy_diverse_02,0.36363636363636365,0.5454545454545454,0.7272727272727273,0.7937062937062938,0.32231404958677684
12,N12_A11_graph_pointer_policy_diverse_01,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.09090909090909091,0.36363636363636365,0.5,0.5,0.36363636363636365
12,N12_A11_graph_pointer_policy_diverse_01,N12_A14_graph_pointer_policy_u2first_proxy,0.36363636363636365,0.45454545454545453,0.5,0.4755244755244755,0.2644628099173554
12,N12_A11_graph_pointer_policy_diverse_01,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.2727272727272727,0.36363636363636365,0.4090909090909091,0.34965034965034963,0.2727272727272727
12,N12_A12_graph_pointer_policy_diverse_02,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.2727272727272727,0.5454545454545454,0.4696969696969697,0.458041958041958,0.4380165289256199
12,N12_A12_graph_pointer_policy_diverse_02,N12_A14_graph_pointer_policy_u2first_proxy,0.09090909090909091,0.36363636363636365,0.5,0.5559440559440559,0.25619834710743805
12,N12_A12_graph_pointer_policy_diverse_02,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.0,0.18181818181818182,0.5606060606060606,0.6958041958041958,0.3471074380165289
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,N12_A14_graph_pointer_policy_u2first_proxy,0.0,0.36363636363636365,0.6363636363636364,0.6328671328671329,0.23140495867768596
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.0,0.0,0.696969696969697,0.7622377622377622,0.25619834710743805
