n,handoff_strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_after_last_cool,final_cooling_controls_visible,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,heat_order_note,solver_output_count,verdict,notes
24,S3R30H32_N24_B03_hybrid_agreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B03_hybrid_agreement\J2D_S3R30H32_N24_B03_hybrid_agreement.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B04_hybrid_agreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B04_hybrid_agreement\J2D_S3R30H32_N24_B04_hybrid_agreement.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B05_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B05_hybrid_disagreement\J2D_S3R30H32_N24_B05_hybrid_disagreement.inp,True,84581,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B06_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B06_hybrid_disagreement\J2D_S3R30H32_N24_B06_hybrid_disagreement.inp,True,84581,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B07_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B07_surrogate_local\J2D_S3R30H32_N24_B07_surrogate_local.inp,True,84577,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B08_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B08_surrogate_local\J2D_S3R30H32_N24_B08_surrogate_local.inp,True,84577,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B09_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B09_n24_surfacet\J2D_S3R30H32_N24_B09_n24_surfacet.inp,True,84574,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B10_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B10_n24_surfacet\J2D_S3R30H32_N24_B10_n24_surfacet.inp,True,84574,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B11_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B11_n24_surfacet\J2D_S3R30H32_N24_B11_n24_surfacet.inp,True,84574,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B12_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B12_uncertainty\J2D_S3R30H32_N24_B12_uncertainty.inp,True,84573,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B01_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B01_new_best_local\J2D_S3R30H32_N40_B01_new_best_local.inp,True,137903,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B02_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B02_new_best_local\J2D_S3R30H32_N40_B02_new_best_local.inp,True,137903,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B03_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B03_new_best_local\J2D_S3R30H32_N40_B03_new_best_local.inp,True,137903,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B04_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B04_new_best_local\J2D_S3R30H32_N40_B04_new_best_local.inp,True,137903,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B05_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B05_gnn_policy_top\J2D_S3R30H32_N40_B05_gnn_policy_top.inp,True,137903,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B06_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B06_gnn_policy_top\J2D_S3R30H32_N40_B06_gnn_policy_top.inp,True,137903,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B07_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B07_hybrid_disagreement\J2D_S3R30H32_N40_B07_hybrid_disagreement.inp,True,137908,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B08_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B08_hybrid_disagreement\J2D_S3R30H32_N40_B08_hybrid_disagreement.inp,True,137908,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B09_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B09_surrogate_local\J2D_S3R30H32_N40_B09_surrogate_local.inp,True,137904,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B10_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B10_surrogate_local\J2D_S3R30H32_N40_B10_surrogate_local.inp,True,137904,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B11_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B11_uncertainty\J2D_S3R30H32_N40_B11_uncertainty.inp,True,137900,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R30H32_N40_B12_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B12_uncertainty\J2D_S3R30H32_N40_B12_uncertainty.inp,True,137900,True,True,1183,1008,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
