strategy_name,n,order_hash,legal,candidate_source_ok,teacher_validated,abaqus_validated
PPOFINAL_N40_B209_novelty,40,27cb0000fbc1b74b,True,True,False,False
PPOFINAL_N40_B210_novelty,40,adeec26328e75899,True,True,False,False
PPOFINAL_N40_B211_novelty,40,c9d025342ba504e5,True,True,False,False
PPOFINAL_N40_B212_novelty,40,97b6240aa13fe80d,True,True,False,False
PPOFINAL_N40_B213_novelty,40,b1c7b79f09ff2710,True,True,False,False
PPOFINAL_N40_B214_novelty,40,ef87bea1b4115be5,True,True,False,False
PPOFINAL_N40_B215_novelty,40,84e9c651accee6b7,True,True,False,False
PPOFINAL_N40_B216_novelty,40,ae120d6c76cdaa09,True,True,False,False
PPOFINAL_N40_B217_baseline_proximity,40,51187e4ada212772,True,True,False,False
PPOFINAL_N40_B218_baseline_proximity,40,57e308b3c37c304d,True,True,False,False
PPOFINAL_N40_B219_baseline_proximity,40,6107b52ea867121d,True,True,False,False
PPOFINAL_N40_B220_baseline_proximity,40,717bf586cbdb33e5,True,True,False,False
PPOFINAL_N40_B221_baseline_proximity,40,481d5322f8532542,True,True,False,False
PPOFINAL_N40_B222_baseline_proximity,40,0ffedc6e85c091cd,True,True,False,False
PPOFINAL_N40_B223_baseline_proximity,40,a19f41acd8bfa5b8,True,True,False,False
PPOFINAL_N40_B224_baseline_proximity,40,c3ba8793a4b7ac4d,True,True,False,False
