strategy_name,final_expansion_batch,global_candidate_index,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_version_source,ppo_generation_mode,seed,selected_by_bucket,predicted_reward_available,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,candidate_source,teacher_validated,abaqus_validated,notes,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
PPOFINAL_N16_B053_efficiency,final_expansion_batch02,53,16,"[11, 1, 3, 15, 13, 9, 7, 6, 5, 0, 2, 4, 8, 10, 12, 14]","11,1,3,15,13,9,7,6,5,0,2,4,8,10,12,14",8515e741ab7b471c,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21861049,efficiency,True,0.7128827737396948,3.533333333333333,12.0,2,0.1333333333333333,53.0,9.848888888888892,-0.1022222222222222,0.2646061728395061,9.0,9,12.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,970,0.2,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B054_efficiency,final_expansion_batch02,54,16,"[11, 1, 3, 15, 13, 9, 7, 0, 2, 4, 5, 6, 8, 10, 12, 14]","11,1,3,15,13,9,7,0,2,4,5,6,8,10,12,14",6721460107841a59,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860669,efficiency,True,0.6659787793634021,3.533333333333333,12.0,3,0.1333333333333333,53.0,10.648888888888894,-0.1022222222222222,0.2681617283950617,8.0,8,11.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,590,0.2,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B055_efficiency,final_expansion_batch02,55,16,"[11, 1, 3, 15, 13, 9, 7, 8, 5, 0, 2, 4, 6, 10, 12, 14]","11,1,3,15,13,9,7,8,5,0,2,4,6,10,12,14",d37150b5de1daa27,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206516,efficiency,True,0.6151475828613433,3.6666666666666665,12.0,2,0.06666666666666667,55.0,9.42222222222222,-0.17777777777777776,0.2710432098765432,10.0,10,11.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,226,0.2,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B056_efficiency,final_expansion_batch02,56,16,"[11, 3, 1, 15, 13, 9, 7, 6, 5, 0, 2, 4, 8, 10, 12, 14]","11,3,1,15,13,9,7,6,5,0,2,4,8,10,12,14",bc8f954b3d0328f0,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860867,efficiency,True,0.6384233564014065,3.533333333333333,14.0,2,0.1333333333333333,53.0,10.915555555555558,-0.1022222222222222,0.2693469135802469,11.0,11,11.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,788,0.2,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B057_efficiency,final_expansion_batch02,57,16,"[11, 3, 1, 15, 13, 9, 7, 0, 2, 4, 5, 6, 8, 10, 12, 14]","11,3,1,15,13,9,7,0,2,4,5,6,8,10,12,14",f3e4673ddd5dcaac,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206706,efficiency,True,0.6215201728808266,3.533333333333333,14.0,3,0.13333333333333333,53.0,11.71555555555556,-0.10222222222222221,0.27290246913580246,10.0,10,11.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,416,0.2,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B058_novelty,final_expansion_batch02,58,16,"[11, 1, 3, 15, 13, 9, 14, 7, 6, 5, 0, 2, 4, 8, 10, 12]","11,1,3,15,13,9,14,7,6,5,0,2,4,8,10,12",35c1c503a5e47f3c,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206764,novelty,True,0.4292648633425429,4.066666666666666,12.0,3,0.1333333333333333,61.0,10.195555555555554,-0.1377777777777777,0.2994802469135802,13.0,13,14.0,raster,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,474,0.3333333333333333,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B059_novelty,final_expansion_batch02,59,16,"[11, 3, 1, 15, 13, 9, 7, 5, 0, 2, 6, 4, 8, 10, 14, 12]","11,3,1,15,13,9,7,5,0,2,6,4,8,10,14,12",6f8308ffda1ff9c8,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860918,novelty,True,0.8057607021419534,3.933333333333333,14.0,2,0.0,59.0,9.928888888888888,-0.2622222222222222,0.2899617283950617,12.0,12,11.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,839,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B060_novelty,final_expansion_batch02,60,16,"[11, 3, 1, 15, 9, 13, 7, 5, 0, 2, 4, 6, 8, 12, 14, 10]","11,3,1,15,9,13,7,5,0,2,4,6,8,12,14,10",80e5e028a54bbd32,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860978,novelty,True,0.7789412718530523,4.333333333333333,14.0,4,0.0,65.0,10.088888888888894,-0.2888888888888888,0.3156728395061728,12.0,12,9.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,899,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B061_baseline_proximity,final_expansion_batch02,61,16,"[11, 3, 1, 15, 9, 13, 7, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,15,9,13,7,5,0,2,4,6,8,10,12,14",67b6fe9d93abd00e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860670,baseline_proximity,True,0.8405526819744987,4.066666666666666,14.0,4,0.0,61.0,10.72888888888889,-0.2711111111111111,0.3018506172839506,9.0,9,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,591,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B062_baseline_proximity,final_expansion_batch02,62,16,"[11, 3, 1, 15, 13, 9, 5, 7, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,15,13,9,5,7,0,2,4,6,8,10,12,14",2dad3faa70568fa2,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860640,baseline_proximity,True,0.8344289593530437,3.8,14.0,3,0.0,57.0,10.960000000000004,-0.2533333333333333,0.28621111111111114,8.0,8,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,561,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B063_baseline_proximity,final_expansion_batch02,63,16,"[11, 3, 1, 15, 7, 9, 13, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,15,7,9,13,5,0,2,4,6,8,10,12,14",7ce60c27eaac7bb5,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21861110,baseline_proximity,True,0.8171311257358603,4.333333333333333,14.0,4,0.0,65.0,12.222222222222229,-0.2888888888888888,0.3251543209876543,7.0,7,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1031,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B064_baseline_proximity,final_expansion_batch02,64,16,"[11, 15, 1, 3, 13, 9, 7, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,15,1,3,13,9,7,5,0,2,4,6,8,10,12,14",8bf65024825844af,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860863,baseline_proximity,True,0.8314363319463542,3.8,14.0,2,0.0,57.0,11.760000000000003,-0.2533333333333333,0.2897666666666667,8.0,8,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,784,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
