n,prefix_name,feature_name,min,max,mean,finite_count,expected_range,pass
24,odd_even_like_early,current_scanned_flag,0.0,1.0,0.16666666666666666,24,"[0,1]",True
24,odd_even_like_early,current_available_flag,1.0,1.0,1.0,24,"[0,1]",True
24,odd_even_like_early,step_fraction,0.16666666666666666,0.16666666666666666,0.16666666666666666,24,"[0,1]",True
24,odd_even_like_early,remaining_fraction,0.8333333333333334,0.8333333333333334,0.8333333333333334,24,"[0,1]",True
24,odd_even_like_early,time_since_left_neighbor_scanned_norm,0.0,0.16666666666666666,0.01736111111111111,24,"[0,1]",True
24,odd_even_like_early,time_since_right_neighbor_scanned_norm,0.0,0.125,0.010416666666666666,24,"[0,1]",True
24,odd_even_like_early,neighbor_scanned_count_norm,0.0,1.0,0.14583333333333334,24,"[0,1]",True
24,odd_even_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.125,24,"[0,1]",True
24,odd_even_like_early,local_heat_proxy_norm,0.0,1.0,0.3413697980679269,24,"[0,1]",True
24,center_out_like_early,x_norm,0.0,1.0,0.5,24,"[0,1]",True
24,center_out_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,24,"[0,1]",True
24,center_out_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,24,"[0,1]",True
24,center_out_like_early,is_edge_track,0.0,1.0,0.25,24,"[0,1]",True
24,center_out_like_early,is_center_track,0.0,1.0,0.08333333333333333,24,"[0,1]",True
24,center_out_like_early,current_scanned_flag,0.0,1.0,0.16666666666666666,24,"[0,1]",True
24,center_out_like_early,current_available_flag,1.0,1.0,1.0,24,"[0,1]",True
24,center_out_like_early,step_fraction,0.16666666666666666,0.16666666666666666,0.16666666666666666,24,"[0,1]",True
24,center_out_like_early,remaining_fraction,0.8333333333333334,0.8333333333333334,0.8333333333333334,24,"[0,1]",True
24,center_out_like_early,time_since_left_neighbor_scanned_norm,0.0,0.16666666666666666,0.01736111111111111,24,"[0,1]",True
24,center_out_like_early,time_since_right_neighbor_scanned_norm,0.0,0.16666666666666666,0.01736111111111111,24,"[0,1]",True
24,center_out_like_early,neighbor_scanned_count_norm,0.0,1.0,0.16666666666666666,24,"[0,1]",True
24,center_out_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.16666666666666666,24,"[0,1]",True
24,center_out_like_early,local_heat_proxy_norm,0.0,1.0,0.2933930550275314,24,"[0,1]",True
24,maximin_like_early,x_norm,0.0,1.0,0.5,24,"[0,1]",True
24,maximin_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,24,"[0,1]",True
24,maximin_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,24,"[0,1]",True
24,maximin_like_early,is_edge_track,0.0,1.0,0.25,24,"[0,1]",True
24,maximin_like_early,is_center_track,0.0,1.0,0.08333333333333333,24,"[0,1]",True
24,maximin_like_early,current_scanned_flag,0.0,1.0,0.16666666666666666,24,"[0,1]",True
24,maximin_like_early,current_available_flag,1.0,1.0,1.0,24,"[0,1]",True
24,maximin_like_early,step_fraction,0.16666666666666666,0.16666666666666666,0.16666666666666666,24,"[0,1]",True
24,maximin_like_early,remaining_fraction,0.8333333333333334,0.8333333333333334,0.8333333333333334,24,"[0,1]",True
24,maximin_like_early,time_since_left_neighbor_scanned_norm,0.0,0.16666666666666666,0.012152777777777776,24,"[0,1]",True
24,maximin_like_early,time_since_right_neighbor_scanned_norm,0.0,0.125,0.010416666666666666,24,"[0,1]",True
24,maximin_like_early,neighbor_scanned_count_norm,0.0,0.5,0.125,24,"[0,1]",True
24,maximin_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.16666666666666666,24,"[0,1]",True
24,maximin_like_early,local_heat_proxy_norm,0.0,1.0,0.30687513640410674,24,"[0,1]",True
32,empty,x_norm,0.0,1.0,0.5,32,"[0,1]",True
32,empty,distance_to_left_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,empty,distance_to_right_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,empty,is_edge_track,0.0,1.0,0.25,32,"[0,1]",True
32,empty,is_center_track,0.0,1.0,0.0625,32,"[0,1]",True
32,empty,current_scanned_flag,0.0,0.0,0.0,32,"[0,1]",True
32,empty,current_available_flag,1.0,1.0,1.0,32,"[0,1]",True
32,empty,step_fraction,0.0,0.0,0.0,32,"[0,1]",True
32,empty,remaining_fraction,1.0,1.0,1.0,32,"[0,1]",True
32,empty,time_since_left_neighbor_scanned_norm,0.0,0.0,0.0,32,"[0,1]",True
32,empty,time_since_right_neighbor_scanned_norm,0.0,0.0,0.0,32,"[0,1]",True
32,empty,neighbor_scanned_count_norm,0.0,0.0,0.0,32,"[0,1]",True
32,empty,recent_neighbor_scanned_flag,0.0,0.0,0.0,32,"[0,1]",True
32,empty,local_heat_proxy_norm,0.0,0.0,0.0,32,"[0,1]",True
32,raster_like_early,x_norm,0.0,1.0,0.5,32,"[0,1]",True
32,raster_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,raster_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,raster_like_early,is_edge_track,0.0,1.0,0.25,32,"[0,1]",True
32,raster_like_early,is_center_track,0.0,1.0,0.0625,32,"[0,1]",True
32,raster_like_early,current_scanned_flag,0.0,1.0,0.125,32,"[0,1]",True
32,raster_like_early,current_available_flag,1.0,1.0,1.0,32,"[0,1]",True
32,raster_like_early,step_fraction,0.125,0.125,0.125,32,"[0,1]",True
32,raster_like_early,remaining_fraction,0.875,0.875,0.875,32,"[0,1]",True
32,raster_like_early,time_since_left_neighbor_scanned_norm,0.0,0.125,0.009765625,32,"[0,1]",True
32,raster_like_early,time_since_right_neighbor_scanned_norm,0.0,0.09375,0.005859375,32,"[0,1]",True
32,raster_like_early,neighbor_scanned_count_norm,0.0,1.0,0.109375,32,"[0,1]",True
32,raster_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.125,32,"[0,1]",True
32,raster_like_early,local_heat_proxy_norm,0.0,1.0,0.22154487943961398,32,"[0,1]",True
32,odd_even_like_early,x_norm,0.0,1.0,0.5,32,"[0,1]",True
32,odd_even_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,odd_even_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,odd_even_like_early,is_edge_track,0.0,1.0,0.25,32,"[0,1]",True
32,odd_even_like_early,is_center_track,0.0,1.0,0.0625,32,"[0,1]",True
32,odd_even_like_early,current_scanned_flag,0.0,1.0,0.125,32,"[0,1]",True
32,odd_even_like_early,current_available_flag,1.0,1.0,1.0,32,"[0,1]",True
32,odd_even_like_early,step_fraction,0.125,0.125,0.125,32,"[0,1]",True
32,odd_even_like_early,remaining_fraction,0.875,0.875,0.875,32,"[0,1]",True
32,odd_even_like_early,time_since_left_neighbor_scanned_norm,0.0,0.125,0.009765625,32,"[0,1]",True
32,odd_even_like_early,time_since_right_neighbor_scanned_norm,0.0,0.09375,0.005859375,32,"[0,1]",True
32,odd_even_like_early,neighbor_scanned_count_norm,0.0,1.0,0.109375,32,"[0,1]",True
32,odd_even_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.09375,32,"[0,1]",True
32,odd_even_like_early,local_heat_proxy_norm,0.0,1.0,0.2959986859214011,32,"[0,1]",True
32,center_out_like_early,x_norm,0.0,1.0,0.5,32,"[0,1]",True
32,center_out_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,center_out_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,center_out_like_early,is_edge_track,0.0,1.0,0.25,32,"[0,1]",True
32,center_out_like_early,is_center_track,0.0,1.0,0.0625,32,"[0,1]",True
32,center_out_like_early,current_scanned_flag,0.0,1.0,0.125,32,"[0,1]",True
32,center_out_like_early,current_available_flag,1.0,1.0,1.0,32,"[0,1]",True
32,center_out_like_early,step_fraction,0.125,0.125,0.125,32,"[0,1]",True
32,center_out_like_early,remaining_fraction,0.875,0.875,0.875,32,"[0,1]",True
32,center_out_like_early,time_since_left_neighbor_scanned_norm,0.0,0.125,0.009765625,32,"[0,1]",True
32,center_out_like_early,time_since_right_neighbor_scanned_norm,0.0,0.125,0.009765625,32,"[0,1]",True
32,center_out_like_early,neighbor_scanned_count_norm,0.0,1.0,0.125,32,"[0,1]",True
32,center_out_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.125,32,"[0,1]",True
32,center_out_like_early,local_heat_proxy_norm,0.0,1.0,0.261390857752128,32,"[0,1]",True
32,maximin_like_early,x_norm,0.0,1.0,0.5,32,"[0,1]",True
32,maximin_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,maximin_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,32,"[0,1]",True
32,maximin_like_early,is_edge_track,0.0,1.0,0.25,32,"[0,1]",True
32,maximin_like_early,is_center_track,0.0,1.0,0.0625,32,"[0,1]",True
32,maximin_like_early,current_scanned_flag,0.0,1.0,0.125,32,"[0,1]",True
32,maximin_like_early,current_available_flag,1.0,1.0,1.0,32,"[0,1]",True
32,maximin_like_early,step_fraction,0.125,0.125,0.125,32,"[0,1]",True
32,maximin_like_early,remaining_fraction,0.875,0.875,0.875,32,"[0,1]",True
32,maximin_like_early,time_since_left_neighbor_scanned_norm,0.0,0.125,0.0068359375,32,"[0,1]",True
32,maximin_like_early,time_since_right_neighbor_scanned_norm,0.0,0.09375,0.005859375,32,"[0,1]",True
32,maximin_like_early,neighbor_scanned_count_norm,0.0,0.5,0.09375,32,"[0,1]",True
32,maximin_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.125,32,"[0,1]",True
32,maximin_like_early,local_heat_proxy_norm,0.0,1.0,0.30708038527243575,32,"[0,1]",True
