n,handoff_strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_controls_visible,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,heat_order_note,solver_output_count,verdict,notes
24,S3R19B28_N24_B07_control_sentinel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N24S3R19B28_N24_B07_control_sentinel\J2D_S3R19B28_N24_B07_control_sentinel.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R19B28_N24_B08_known_best_mutation,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N24S3R19B28_N24_B08_known_best_mutation\J2D_S3R19B28_N24_B08_known_best_mutation.inp,True,84581,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R19B28_N24_B09_known_best_mutation,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N24S3R19B28_N24_B09_known_best_mutation\J2D_S3R19B28_N24_B09_known_best_mutation.inp,True,84581,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R19B28_N24_B10_known_best_mutation,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N24S3R19B28_N24_B10_known_best_mutation\J2D_S3R19B28_N24_B10_known_best_mutation.inp,True,84581,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B01_surrogate_top\J2D_S3R19B28_N40_B01_surrogate_top.inp,True,137902,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B02_u2_primary_top\J2D_S3R19B28_N40_B02_u2_primary_top.inp,True,137903,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B03_geometry_signal_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B03_geometry_signal_top\J2D_S3R19B28_N40_B03_geometry_signal_top.inp,True,137908,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B04_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B04_method_c_inspired\J2D_S3R19B28_N40_B04_method_c_inspired.inp,True,137906,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B05_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B05_diversity_top\J2D_S3R19B28_N40_B05_diversity_top.inp,True,137902,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B06_uncertainty_calibration,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B06_uncertainty_calibration\J2D_S3R19B28_N40_B06_uncertainty_calibration.inp,True,137912,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B07_control_sentinel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B07_control_sentinel\J2D_S3R19B28_N40_B07_control_sentinel.inp,True,137905,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B08_known_best_mutation,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B08_known_best_mutation\J2D_S3R19B28_N40_B08_known_best_mutation.inp,True,137908,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B09_known_best_mutation,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B09_known_best_mutation\J2D_S3R19B28_N40_B09_known_best_mutation.inp,True,137908,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
40,S3R19B28_N40_B10_known_best_mutation,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch28_combined80_surrogate_screened_v01\N40S3R19B28_N40_B10_known_best_mutation\J2D_S3R19B28_N40_B10_known_best_mutation.inp,True,137908,True,True,1183,1008,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
