regime,target,feature_set,model_name,macro_spearman_leave_N_out,macro_top5_overlap_leave_N_out,macro_top10_overlap_leave_N_out,n24_spearman,n32_spearman,n40_spearman
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.8126213477581766,1.0,4.4,0.8315925897690021,0.8084694856818965,0.8926624737945492
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,Ridge,0.7375533128767285,1.0,4.4,0.6800411749619495,0.7525238965453686,0.8065340095439862
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8274697151289508,1.6,5.2,0.8073015213132351,0.7984036612486012,0.87322494725411
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8255023677797823,1.6,5.0,0.8037092844765704,0.7793665495961561,0.8720812840908505
plus_N32_unweighted,target_u2_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.4,1.4,nan,nan,nan
plus_N32_unweighted,target_u2_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.7762042737254262,1.4,4.2,0.7102012855227331,0.805781154340673,0.8529277274442099
plus_N32_unweighted,target_u2_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.8357145426093086,1.2,4.6,0.7953644455795117,0.8485935509613766,0.8736228228599675
plus_N32_unweighted,target_u2_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.4,1.4,nan,nan,nan
plus_N32_unweighted,target_u2_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,0.7726841047363502,1.6,4.6,0.7133272385776371,0.8015515773064266,0.8510979012657294
plus_N32_unweighted,target_u2_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.8281853266548183,1.0,4.8,0.7942208042179614,0.8479228218619719,0.8777614778017063
plus_N32_unweighted,target_peeq_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.0,1.2,nan,nan,nan
plus_N32_unweighted,target_peeq_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.4716277676993311,1.0,3.6,0.5308783200316468,0.22393508396893408,0.4830359897401262
plus_N32_unweighted,target_peeq_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.5265946073620866,1.2,3.6,0.58188472475679,0.15437767184148563,0.545783779110519
plus_N32_unweighted,target_peeq_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.0,1.2,nan,nan,nan
plus_N32_unweighted,target_peeq_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,0.4770596994122287,0.8,3.6,0.50457456871599,0.21527983073262627,0.5059088169711321
plus_N32_unweighted,target_peeq_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.5365337891607048,1.4,4.4,0.6105520015529841,0.14852564460994186,0.6496769209423096
plus_N32_unweighted,target_surfaceT_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.2,2.0,nan,nan,nan
plus_N32_unweighted,target_surfaceT_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.07827019576454373,0.6,3.0,-0.014562366670407086,0.09480771706304049,0.3325709079388257
