n,strategy_name,dataset_source,legacy_source_category,order_json,order_hash,u2_range,peeq_max,surface_t_proxy,mises_max,peeq_metric_source,mises_metric_source,metric_semantic_warning,legacy_compatibility_status,target_u2_score_combined172_plus_N32_rank,target_peeq_score_combined172_plus_N32_rank,target_surfaceT_score_combined172_plus_N32_rank,target_mises_score_combined172_plus_N32_rank,target_reward_combined172_plus_N32_mapped_u2_primary,reward_rank_combined172_plus_N32_within_n,teacher_validation_status,source_file,source_row_index
32,RLU2_A10_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[0,2,4,6,8,10,12,14,16,18,20,26,24,22,28,30,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31]",d90439b7a2e89cff,7.79679e-05,0.1452705431729555,0.0025187697739283,1.933278101333333,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.9305135951661632,0.4712990936555891,0.9063444108761329,0.6722054380664653,0.8233383685800604,9.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,187
32,RLU2_A11_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,1,3,5,7,9,15,13,11,17,19,21,23,25,27,29,31]",83d1d6d56a01d102,6.468859e-05,0.1471103022992611,0.0025022320437241,1.9332779306666668,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.972809667673716,0.26586102719033233,0.9123867069486404,0.7084592145015105,0.8121601208459215,13.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,188
32,RLU2_A12_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[0,2,4,6,8,10,12,14,16,18,20,22,28,26,24,30,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31]",6d4e4d210d785d87,8.330394e-05,0.1460504853725433,0.0024984280767343,1.933278058666667,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.9063444108761329,0.37462235649546827,0.9154078549848943,0.6797583081570997,0.7895770392749244,24.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,189
32,RLU2_A13_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,1,7,5,3,9,11,13,15,17,19,21,23,25,27,29,31]",0a03b519ac853e01,9.39961e-05,0.1472375173866749,0.0018358274105096,1.9332779733333332,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.8640483383685801,0.2537764350453172,0.9788519637462235,0.6948640483383686,0.7450151057401813,51.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,190
32,RLU2_A14_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,1,3,5,7,9,11,13,15,17,19,21,23,25,31,29,27]",bddb9ffe18582781,0.000101320264,0.1475419221818447,0.0025146804134678,1.933278976,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.8217522658610272,0.2356495468277946,0.9093655589123867,0.49848942598187307,0.697129909365559,80.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,191
32,RLU2_A15_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[21,23,25,0,2,4,6,12,10,8,14,16,18,20,24,22,28,30,1,26,3,5,7,9,11,13,15,17,19,27,29,31]",66e513f14e246ed2,0.00011784535,0.1432244691252708,0.0064330845948461,1.933278656,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.770392749244713,0.7734138972809668,0.5679758308157099,0.5830815709969788,0.7413897280966768,52.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,192
32,RLU2_A16_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[21,23,25,0,2,4,6,8,10,12,14,16,18,20,22,24,28,30,1,26,3,9,11,5,7,13,15,17,19,27,29,31]",664dac3422d3369f,0.00014481484,0.1430773657560348,0.0063994437237283,1.9332786773333333,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.7220543806646526,0.7945619335347431,0.5740181268882175,0.5755287009063443,0.7144259818731117,71.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,193
32,RLU2_A17_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[21,23,25,0,2,4,6,12,14,8,10,16,18,20,22,24,28,30,1,26,3,5,7,9,11,13,15,17,19,27,29,31]",15de0594d13c50b1,8.9998255e-05,0.1465027970075607,0.0064108016633411,1.933278656,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.8761329305135952,0.3323262839879154,0.5709969788519638,0.5830815709969788,0.7222054380664654,64.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,194
32,RLU2_A18_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[0,25,23,21,2,4,6,8,10,12,14,16,18,20,22,24,28,30,1,26,3,9,7,5,11,13,15,17,19,27,29,31]",b968d49446369f1c,9.41509e-05,0.1445170909166336,0.0065179983499835,1.9332782933333328,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.8610271903323263,0.607250755287009,0.5468277945619335,0.6510574018126889,0.7683534743202418,39.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,195
32,RLU2_A19_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[30,9,2,12,20,19,11,28,22,23,31,4,6,0,25,5,7,27,17,18,14,13,10,29,1,8,15,16,24,26,21,3]",171659fc097023b0,0.00058913784,0.1450012764334678,0.0100157285054433,1.933282752,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.3716012084592145,0.5226586102719033,0.2356495468277946,0.21450151057401812,0.3803625377643505,218.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,196
32,RLU2_A20_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[23,16,25,28,0,29,14,11,13,5,26,9,24,17,19,31,20,22,27,2,21,15,18,4,3,10,8,12,6,1,7,30]",c4f5227c43b5f44d,0.00040192236,0.1506895261257886,0.0088981328210817,1.9332800853333332,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.5075528700906344,0.11480362537764355,0.2870090634441088,0.3655589123867069,0.39984894259818726,216.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,197
32,RLV2C_A01_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[27,8,3,22,2,26,21,7,4,6,30,20,13,31,17,25,18,16,0,29,23,9,15,24,12,14,19,28,11,5,10,1]",524121283f4300c8,0.00067311525,0.1466528998315334,0.0092127272414564,1.933280192,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.26586102719033233,0.3141993957703928,0.2749244712990937,0.35649546827794565,0.28096676737160126,256.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,198
32,RLV2C_A02_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[12,27,25,15,17,4,23,3,7,13,9,11,31,18,21,6,19,22,2,14,10,29,26,0,24,20,5,8,28,16,1,30]",0ec56f680fafa22b,0.0005427128,0.1411128261685371,0.005870093985837,1.933276565333333,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.41389728096676737,0.9607250755287009,0.6314199395770392,0.9486404833836858,0.5717522658610272,164.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,199
32,RLV2C_A03_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[15,27,9,26,25,21,4,3,22,31,6,30,2,23,11,29,10,14,1,19,16,7,5,12,18,8,28,0,20,17,24,13]",26b3bcdf8b3ac93d,0.0006741633,0.1432789742946625,0.0109104263209852,1.933291712,peeq_guard,mises_P95_top_band,True,LEGACY_COMPATIBLE_WITH_WARNINGS,0.2628398791540786,0.7643504531722054,0.17220543806646527,0.1570996978851964,0.34879154078549857,227.0,LEGACY_TEACHER_LABEL_COMPATIBLE,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,200
